horizon,model,n_patients,n_positives,n_negatives,cv_auroc,cv_auprc,test_auroc,cv_delta_hybrid_minus_model,cv_boot_p,cv_delong_p,cv_ci_low,cv_ci_high,test_delta_hybrid_minus_model,test_boot_p,test_delong_p
10m,P6,547,110,437,0.6859,0.3656,0.5802,0.0037,0.817,0.8138,-0.0277,0.0348,0.0428,0.14,0.1488
10m,Max,547,110,437,0.6464,0.3381,0.6373,0.0432,0.018,0.0187,0.0065,0.0778,-0.0143,0.825,0.7671
10m,P90,547,110,437,0.6436,0.3462,0.6364,0.046,0.011,0.0149,0.0089,0.0831,-0.0134,0.864,0.8046
10m,Model 3,547,110,437,0.6683,0.3612,0.5642,0.0213,0.097,0.0901,-0.0034,0.0452,0.0588,0.001,0.0031
10m,Parity Fusion,547,110,437,0.7008,0.3791,0.6266,-0.0112,0.357,0.3544,-0.0355,0.0123,-0.0036,0.92,0.901
10m,Hybrid,547,110,437,0.6896,0.3821,0.623,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
20m,P6,547,110,437,0.6238,0.3261,0.6123,0.0243,0.228,0.2126,-0.0143,0.064,0.1168,0.0,0.0005
20m,Max,547,110,437,0.6035,0.3167,0.6747,0.0447,0.05,0.0427,0.0,0.0839,0.0544,0.285,0.2929
20m,P90,547,110,437,0.6014,0.3157,0.6783,0.0467,0.023,0.0264,0.0057,0.0858,0.0508,0.337,0.3325
20m,Model 3,547,110,437,0.6015,0.3238,0.6203,0.0467,0.005,0.0078,0.0119,0.081,0.1087,0.0,0.0002
20m,Parity Fusion,547,110,437,0.6435,0.3096,0.7389,0.0047,0.852,0.8241,-0.0382,0.0446,-0.0098,0.701,0.6765
20m,Hybrid,547,110,437,0.6481,0.3236,0.7291,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
30m,P6,547,110,437,0.5828,0.3265,0.6078,0.0623,0.007,0.0035,0.0202,0.1023,0.1604,0.005,0.0082
30m,Max,547,110,437,0.6126,0.3163,0.713,0.0325,0.149,0.149,-0.0116,0.0757,0.0553,0.113,0.1234
30m,P90,547,110,437,0.609,0.3102,0.6979,0.0361,0.097,0.098,-0.0075,0.077,0.0704,0.047,0.051
30m,Model 3,547,110,437,0.5976,0.3043,0.6658,0.0475,0.013,0.0104,0.0109,0.0827,0.1025,0.0,0.0026
30m,Parity Fusion,547,110,437,0.6368,0.3192,0.7264,0.0083,0.668,0.6447,-0.0276,0.0441,0.0419,0.349,0.3532
30m,Hybrid,547,110,437,0.6451,0.3128,0.7683,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
