permutation_id,permuted_hybrid_auroc,delta_vs_model3,exceeds_real_delta
1,0.7132,-0.0084,False
2,0.7213,-0.0002,False
3,0.7201,-0.0015,False
4,0.7169,-0.0047,False
5,0.7189,-0.0027,False
6,0.7235,0.002,False
7,0.7083,-0.0133,False
8,0.7174,-0.0042,False
9,0.7167,-0.0049,False
10,0.7179,-0.0037,False
11,0.7198,-0.0018,False
12,0.7164,-0.0052,False
13,0.7101,-0.0115,False
14,0.7096,-0.012,False
15,0.717,-0.0046,False
16,0.7151,-0.0065,False
17,0.7174,-0.0042,False
18,0.7158,-0.0058,False
19,0.7187,-0.0029,False
20,0.7238,0.0022,False
21,0.7173,-0.0043,False
22,0.7198,-0.0017,False
23,0.7231,0.0015,False
24,0.7235,0.0019,False
25,0.7179,-0.0037,False
26,0.7168,-0.0048,False
27,0.7161,-0.0055,False
28,0.7173,-0.0043,False
29,0.7149,-0.0067,False
30,0.7261,0.0046,False
