check,seed,hybrid_auroc,delta_vs_model3,p_value,ci_low,ci_high
bootstrap_seed,42,0.7324,0.0108,0.172,-0.0049,0.0262
bootstrap_seed,1,0.7324,0.0107,0.169,-0.0059,0.0255
bootstrap_seed,7,0.7324,0.0108,0.162,-0.0043,0.0258
bootstrap_seed,123,0.7324,0.0107,0.183,-0.0054,0.0254
bootstrap_seed,2024,0.7324,0.0107,0.179,-0.0049,0.0254
fold_resplit,11,0.7286,0.007,0.42,-0.0101,0.0234
fold_resplit,22,0.7318,0.0102,0.231,-0.0066,0.0264
fold_resplit,33,0.7302,0.0086,0.31,-0.0083,0.0243
fold_resplit,44,0.7306,0.009,0.266,-0.007,0.0248
fold_resplit,55,0.7308,0.0092,0.287,-0.0082,0.0258
