model,horizon,horizon_min,auroc_715,delta_vs_snapshot,ci95_low,ci95_high,p_value,severe_auroc_705
Model A (Snapshot Baseline),>=60m,60,0.5976,0.0,0.0,0.0,2.0,0.5589
Model B (Snapshot + State),>=60m,60,0.5945,-0.0031,-0.0079,0.0018,0.211,0.5542
Model C (Snapshot + State + Trajectory),>=60m,60,0.6179,0.0204,0.0031,0.0378,0.026,0.5866
Model D (Snapshot + Trajectory),>=60m,60,0.6142,0.0166,0.0012,0.032,0.034,0.5792
Model E (Full Physiological Fusion),>=60m,60,0.6872,0.09,0.0351,0.1492,0.002,0.6771
Model A (Snapshot Baseline),>=45m,45,0.5976,0.0,0.0,0.0,2.0,0.5589
Model B (Snapshot + State),>=45m,45,0.5945,-0.0031,-0.0079,0.0018,0.211,0.5542
Model C (Snapshot + State + Trajectory),>=45m,45,0.6179,0.0204,0.0031,0.0378,0.026,0.5866
Model D (Snapshot + Trajectory),>=45m,45,0.6142,0.0166,0.0012,0.032,0.034,0.5792
Model E (Full Physiological Fusion),>=45m,45,0.6872,0.09,0.0351,0.1492,0.002,0.6771
Model A (Snapshot Baseline),>=30m,30,0.5461,0.0,0.0,0.0,2.0,0.6005
Model B (Snapshot + State),>=30m,30,0.5459,-0.0002,-0.0153,0.0142,0.992,0.5725
Model C (Snapshot + State + Trajectory),>=30m,30,0.5345,-0.0116,-0.0412,0.0184,0.436,0.5534
Model D (Snapshot + Trajectory),>=30m,30,0.5355,-0.0105,-0.0415,0.0204,0.499,0.552
Model E (Full Physiological Fusion),>=30m,30,0.5857,0.0392,-0.0133,0.091,0.135,0.5939
Model A (Snapshot Baseline),>=20m,20,0.55,0.0,0.0,0.0,2.0,0.6118
Model B (Snapshot + State),>=20m,20,0.5505,0.0005,-0.0137,0.014,0.919,0.5896
Model C (Snapshot + State + Trajectory),>=20m,20,0.5471,-0.0027,-0.0228,0.0175,0.779,0.5993
Model D (Snapshot + Trajectory),>=20m,20,0.5489,-0.0008,-0.0223,0.021,0.926,0.6012
Model E (Full Physiological Fusion),>=20m,20,0.5869,0.0368,-0.0122,0.0845,0.127,0.639
Model A (Snapshot Baseline),>=10m,10,0.536,0.0,0.0,0.0,2.0,0.5882
Model B (Snapshot + State),>=10m,10,0.536,-0.0001,-0.0144,0.0137,0.983,0.5656
Model C (Snapshot + State + Trajectory),>=10m,10,0.5313,-0.0045,-0.0231,0.0134,0.639,0.5698
Model D (Snapshot + Trajectory),>=10m,10,0.5327,-0.003,-0.023,0.0161,0.762,0.5715
Model E (Full Physiological Fusion),>=10m,10,0.5814,0.0448,-0.001,0.0879,0.058,0.6292
Model A (Snapshot Baseline),Delivery (0m),0,0.5976,0.0,0.0,0.0,2.0,0.5589
Model B (Snapshot + State),Delivery (0m),0,0.5945,-0.0031,-0.0079,0.0018,0.211,0.5542
Model C (Snapshot + State + Trajectory),Delivery (0m),0,0.6179,0.0204,0.0031,0.0378,0.026,0.5866
Model D (Snapshot + Trajectory),Delivery (0m),0,0.6142,0.0166,0.0012,0.032,0.034,0.5792
Model E (Full Physiological Fusion),Delivery (0m),0,0.6872,0.09,0.0351,0.1492,0.002,0.6771
