ladder_step,step_code,step_name,description,horizon,horizon_min,auroc,auprc,brier_score,stepwise_delta_auroc,stepwise_ci_low,stepwise_ci_high,stepwise_p_value,total_delta_from_snapshot,total_ci_low,total_ci_high,total_p_value
1,L1_Snapshot,Step 1: Snapshot Risk Alone (R_t),Baseline continuous risk score,>=30m (Primary Horizon),30,0.5433,0.284,0.1574,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,L2_Snapshot_State,Step 2: Snapshot + State (R_t + S_t),Adding physiological state categorization,>=30m (Primary Horizon),30,0.5459,0.2862,0.1573,0.0025,-0.0152,0.0197,0.74,0.0025,-0.0152,0.0197,0.74
3,L3_Snapshot_State_Direction,Step 3: Snapshot + State + Direction (R_t + S_t + D_t),"Adding velocity, acceleration, and reversals",>=30m (Primary Horizon),30,0.5448,0.288,0.1571,-0.0011,-0.0145,0.0108,0.895,0.0014,-0.0238,0.0248,0.878
4,L4_Snapshot_State_Direction_Persist,Step 4: Snapshot + State + Direction + Persistence,Adding state duration persistence,>=30m (Primary Horizon),30,0.5447,0.2873,0.1571,-0.0001,-0.0072,0.0089,0.926,0.0014,-0.0224,0.0242,0.87
5,L5_Snapshot_Trajectory_P5,Step 5: Snapshot + Full Trajectory (P5),P5: Snapshot + Trajectory dynamics,>=30m (Primary Horizon),30,0.5355,0.2733,0.1583,-0.0092,-0.035,0.016,0.478,-0.0078,-0.0412,0.0227,0.64
6,L6_Traj_plus_DomainSeverities,Step 6: Trajectory + 6 Domain Severities,Adding multidomain physiological severity scores,>=30m (Primary Horizon),30,0.6082,0.3087,0.1559,0.0727,0.0309,0.1188,0.0,0.0649,0.0174,0.1116,0.006
7,L7_Traj_Domains_Occupancy,Step 7: Trajectory + Domains + State Occupancies,Adding cumulative state occupancy history,>=30m (Primary Horizon),30,0.6064,0.3046,0.1564,-0.0018,-0.0092,0.0061,0.674,0.0631,0.0146,0.1105,0.012
8,L8_Full_Framework_P6,Step 8: Full Multidomain Framework (P6),Full 40-D physiological representation,>=30m (Primary Horizon),30,0.5857,0.2946,0.1592,-0.0207,-0.0679,0.0227,0.337,0.0424,-0.0113,0.0942,0.125
1,L1_Snapshot,Step 1: Snapshot Risk Alone (R_t),Baseline continuous risk score,Delivery (0m),0,0.5957,0.291,0.1625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,L2_Snapshot_State,Step 2: Snapshot + State (R_t + S_t),Adding physiological state categorization,Delivery (0m),0,0.5945,0.2893,0.1628,-0.0012,-0.0052,0.0031,0.556,-0.0012,-0.0052,0.0031,0.556
3,L3_Snapshot_State_Direction,Step 3: Snapshot + State + Direction (R_t + S_t + D_t),"Adding velocity, acceleration, and reversals",Delivery (0m),0,0.6031,0.2958,0.1615,0.0085,-0.0008,0.0172,0.075,0.0074,-0.0024,0.0167,0.127
4,L4_Snapshot_State_Direction_Persist,Step 4: Snapshot + State + Direction + Persistence,Adding state duration persistence,Delivery (0m),0,0.6128,0.2964,0.1612,0.0097,-0.0054,0.0249,0.197,0.0171,-0.0012,0.035,0.065
