contrast,description,horizon,horizon_min,n_patients,n_positives_715,model_b,auroc_b,auprc_b,model_a,auroc_a,auprc_a,delta_auroc_point,delta_auroc_boot_mean,ci_95_low,ci_95_high,p_value,statistical_inference
P6 vs P2,Full Framework vs Sequential/Event Prior-Art,>=60m,60,547,110,P6,0.6872,0.4067,P2,0.6774,0.3582,0.0098,0.0103,-0.0343,0.0523,0.633,Statistically Indistinguishable (CI overlaps 0)
P6 vs P3,Full Framework vs Locked Snapshot Baseline,>=60m,60,547,110,P6,0.6872,0.4067,P3,0.5976,0.2967,0.0896,0.0896,0.0349,0.147,0.0,Significant Superiority (CI > 0)
P6 vs P5,Full Framework vs Snapshot + Trajectory,>=60m,60,547,110,P6,0.6872,0.4067,P5,0.6142,0.2982,0.073,0.0731,0.0192,0.1292,0.006,Significant Superiority (CI > 0)
P6 vs P1,Full Framework vs Compact CTG Baseline,>=60m,60,547,110,P6,0.6872,0.4067,P1,0.509,0.2333,0.1782,0.1801,0.1111,0.2475,0.0,Significant Superiority (CI > 0)
P5 vs P3,Snapshot + Trajectory vs Snapshot Baseline,>=60m,60,547,110,P5,0.6142,0.2982,P3,0.5976,0.2967,0.0166,0.0165,0.0006,0.0319,0.041,Significant Superiority (CI > 0)
P4 vs P3,Snapshot + State vs Snapshot Baseline,>=60m,60,547,110,P4,0.5945,0.2893,P3,0.5976,0.2967,-0.003,-0.0031,-0.008,0.0018,0.219,Statistically Indistinguishable (CI overlaps 0)
P6 vs P2,Full Framework vs Sequential/Event Prior-Art,>=45m,45,547,110,P6,0.6872,0.4067,P2,0.6774,0.3582,0.0098,0.0103,-0.0343,0.0523,0.633,Statistically Indistinguishable (CI overlaps 0)
P6 vs P3,Full Framework vs Locked Snapshot Baseline,>=45m,45,547,110,P6,0.6872,0.4067,P3,0.5976,0.2967,0.0896,0.0896,0.0349,0.147,0.0,Significant Superiority (CI > 0)
P6 vs P5,Full Framework vs Snapshot + Trajectory,>=45m,45,547,110,P6,0.6872,0.4067,P5,0.6142,0.2982,0.073,0.0731,0.0192,0.1292,0.006,Significant Superiority (CI > 0)
P6 vs P1,Full Framework vs Compact CTG Baseline,>=45m,45,547,110,P6,0.6872,0.4067,P1,0.509,0.2333,0.1782,0.1801,0.1111,0.2475,0.0,Significant Superiority (CI > 0)
P5 vs P3,Snapshot + Trajectory vs Snapshot Baseline,>=45m,45,547,110,P5,0.6142,0.2982,P3,0.5976,0.2967,0.0166,0.0165,0.0006,0.0319,0.041,Significant Superiority (CI > 0)
P4 vs P3,Snapshot + State vs Snapshot Baseline,>=45m,45,547,110,P4,0.5945,0.2893,P3,0.5976,0.2967,-0.003,-0.0031,-0.008,0.0018,0.219,Statistically Indistinguishable (CI overlaps 0)
P6 vs P2,Full Framework vs Sequential/Event Prior-Art,>=30m,30,547,110,P6,0.5857,0.2946,P2,0.5983,0.3064,-0.0126,-0.0127,-0.0542,0.0278,0.56,Statistically Indistinguishable (CI overlaps 0)
P6 vs P3,Full Framework vs Locked Snapshot Baseline,>=30m,30,547,110,P6,0.5857,0.2946,P3,0.5461,0.2892,0.0396,0.039,-0.0138,0.0912,0.15,Statistically Indistinguishable (CI overlaps 0)
P6 vs P5,Full Framework vs Snapshot + Trajectory,>=30m,30,547,110,P6,0.5857,0.2946,P5,0.5355,0.2733,0.0502,0.0498,0.002,0.0981,0.04,Significant Superiority (CI > 0)
P6 vs P1,Full Framework vs Compact CTG Baseline,>=30m,30,547,110,P6,0.5857,0.2946,P1,0.5727,0.2608,0.013,0.0127,-0.0481,0.0775,0.699,Statistically Indistinguishable (CI overlaps 0)
P5 vs P3,Snapshot + Trajectory vs Snapshot Baseline,>=30m,30,547,110,P5,0.5355,0.2733,P3,0.5461,0.2892,-0.0105,-0.0108,-0.0428,0.0185,0.507,Statistically Indistinguishable (CI overlaps 0)
P4 vs P3,Snapshot + State vs Snapshot Baseline,>=30m,30,547,110,P4,0.5459,0.2862,P3,0.5461,0.2892,-0.0002,-0.0,-0.0151,0.0144,0.998,Statistically Indistinguishable (CI overlaps 0)
P6 vs P2,Full Framework vs Sequential/Event Prior-Art,>=20m,20,547,110,P6,0.5869,0.2868,P2,0.5841,0.2909,0.0028,0.0025,-0.0327,0.0384,0.894,Statistically Indistinguishable (CI overlaps 0)
P6 vs P3,Full Framework vs Locked Snapshot Baseline,>=20m,20,547,110,P6,0.5869,0.2868,P3,0.55,0.2869,0.0369,0.0359,-0.0126,0.0848,0.152,Statistically Indistinguishable (CI overlaps 0)
P6 vs P5,Full Framework vs Snapshot + Trajectory,>=20m,20,547,110,P6,0.5869,0.2868,P5,0.5489,0.2773,0.038,0.0373,-0.0087,0.0831,0.107,Statistically Indistinguishable (CI overlaps 0)
