contrast,research_question,horizon,horizon_min,model_b,auroc_b,auprc_b,model_a,auroc_a,auprc_a,delta_auroc_point,delta_auroc_boot_mean,ci_95_low,ci_95_high,p_value,complementarity_inference
State Incremental (B vs A),Does State add to Snapshot Risk?,>=30m (Primary Early-Warning),30,Model B: R_t + S_t (Snapshot + State),0.5459,0.2862,Model A: R_t (Snapshot Risk Alone),0.5433,0.284,0.0025,0.0028,-0.0152,0.0197,0.74,No Significant Increment (CI overlaps 0)
Direction Incremental (C vs A),Does Direction add to Snapshot Risk?,>=30m (Primary Early-Warning),30,Model C: R_t + D_t (Snapshot + Direction),0.5467,0.2882,Model A: R_t (Snapshot Risk Alone),0.5433,0.284,0.0034,0.0033,-0.0017,0.0095,0.236,No Significant Increment (CI overlaps 0)
Direction added to State (D vs B),Does Direction add complementary info to State?,>=30m (Primary Early-Warning),30,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5448,0.288,Model B: R_t + S_t (Snapshot + State),0.5459,0.2862,-0.0011,-0.0011,-0.0145,0.0108,0.895,No Significant Increment (CI overlaps 0)
State added to Direction (D vs C),Does State add complementary info to Direction?,>=30m (Primary Early-Warning),30,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5448,0.288,Model C: R_t + D_t (Snapshot + Direction),0.5467,0.2882,-0.0019,-0.0016,-0.0298,0.0242,0.908,No Significant Increment (CI overlaps 0)
Persistence added (E vs D),Does Persistence add info beyond State + Direction?,>=30m (Primary Early-Warning),30,Model E: R_t + S_t + D_t + P_t (Snapshot + State + Direction + Persistence),0.5447,0.2873,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5448,0.288,-0.0001,-0.0001,-0.0072,0.0089,0.926,No Significant Increment (CI overlaps 0)
State Incremental (B vs A),Does State add to Snapshot Risk?,Delivery (0m),0,Model B: R_t + S_t (Snapshot + State),0.5945,0.2893,Model A: R_t (Snapshot Risk Alone),0.5957,0.291,-0.0012,-0.0013,-0.0052,0.0031,0.556,No Significant Increment (CI overlaps 0)
Direction Incremental (C vs A),Does Direction add to Snapshot Risk?,Delivery (0m),0,Model C: R_t + D_t (Snapshot + Direction),0.6017,0.296,Model A: R_t (Snapshot Risk Alone),0.5957,0.291,0.006,0.006,-0.0018,0.0132,0.116,No Significant Increment (CI overlaps 0)
Direction added to State (D vs B),Does Direction add complementary info to State?,Delivery (0m),0,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.6031,0.2958,Model B: R_t + S_t (Snapshot + State),0.5945,0.2893,0.0085,0.0084,-0.0008,0.0172,0.075,No Significant Increment (CI overlaps 0)
State added to Direction (D vs C),Does State add complementary info to Direction?,Delivery (0m),0,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.6031,0.2958,Model C: R_t + D_t (Snapshot + Direction),0.6017,0.296,0.0014,0.0012,-0.0062,0.0094,0.765,No Significant Increment (CI overlaps 0)
Persistence added (E vs D),Does Persistence add info beyond State + Direction?,Delivery (0m),0,Model E: R_t + S_t + D_t + P_t (Snapshot + State + Direction + Persistence),0.6128,0.2964,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.6031,0.2958,0.0097,0.0098,-0.0054,0.0249,0.197,No Significant Increment (CI overlaps 0)
State Incremental (B vs A),Does State add to Snapshot Risk?,>=20m,20,Model B: R_t + S_t (Snapshot + State),0.5505,0.2838,Model A: R_t (Snapshot Risk Alone),0.5474,0.2822,0.0031,0.0034,-0.013,0.0192,0.674,No Significant Increment (CI overlaps 0)
Direction Incremental (C vs A),Does Direction add to Snapshot Risk?,>=20m,20,Model C: R_t + D_t (Snapshot + Direction),0.5463,0.2829,Model A: R_t (Snapshot Risk Alone),0.5474,0.2822,-0.001,-0.0011,-0.0042,0.0018,0.499,No Significant Increment (CI overlaps 0)
Direction added to State (D vs B),Does Direction add complementary info to State?,>=20m,20,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5524,0.2853,Model B: R_t + S_t (Snapshot + State),0.5505,0.2838,0.002,0.0019,-0.0024,0.0066,0.427,No Significant Increment (CI overlaps 0)
State added to Direction (D vs C),Does State add complementary info to Direction?,>=20m,20,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5524,0.2853,Model C: R_t + D_t (Snapshot + Direction),0.5463,0.2829,0.0061,0.0064,-0.0122,0.024,0.48,No Significant Increment (CI overlaps 0)
Persistence added (E vs D),Does Persistence add info beyond State + Direction?,>=20m,20,Model E: R_t + S_t + D_t + P_t (Snapshot + State + Direction + Persistence),0.5518,0.2856,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5524,0.2853,-0.0006,-0.0006,-0.0026,0.0011,0.528,No Significant Increment (CI overlaps 0)
State Incremental (B vs A),Does State add to Snapshot Risk?,>=10m,10,Model B: R_t + S_t (Snapshot + State),0.536,0.2566,Model A: R_t (Snapshot Risk Alone),0.5346,0.2558,0.0014,0.0016,-0.0148,0.0178,0.844,No Significant Increment (CI overlaps 0)
Direction Incremental (C vs A),Does Direction add to Snapshot Risk?,>=10m,10,Model C: R_t + D_t (Snapshot + Direction),0.5338,0.2567,Model A: R_t (Snapshot Risk Alone),0.5346,0.2558,-0.0009,-0.0009,-0.004,0.0021,0.562,No Significant Increment (CI overlaps 0)
Direction added to State (D vs B),Does Direction add complementary info to State?,>=10m,10,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5349,0.2571,Model B: R_t + S_t (Snapshot + State),0.536,0.2566,-0.0011,-0.0011,-0.0045,0.0026,0.539,No Significant Increment (CI overlaps 0)
State added to Direction (D vs C),Does State add complementary info to Direction?,>=10m,10,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5349,0.2571,Model C: R_t + D_t (Snapshot + Direction),0.5338,0.2567,0.0012,0.0014,-0.0166,0.0191,0.865,No Significant Increment (CI overlaps 0)
Persistence added (E vs D),Does Persistence add info beyond State + Direction?,>=10m,10,Model E: R_t + S_t + D_t + P_t (Snapshot + State + Direction + Persistence),0.5352,0.2576,Model D: R_t + S_t + D_t (Snapshot + State + Direction),0.5349,0.2571,0.0003,0.0003,-0.0014,0.002,0.697,No Significant Increment (CI overlaps 0)
