model_code,model_name,matching_criterion,target_metric,target_value,actual_far_per_hour,actual_sensitivity,actual_specificity,ppv,npv,threshold,median_warning_min,iqr_warning_min,pct_warned_ge20m
P1,P1 (Compact CTG Baseline),Matched FAR = 0.25/hr,FAR,0.25,0.245,0.1818,0.9314,0.4,0.8189,0.3881,11.25,18.12,30.0
P1,P1 (Compact CTG Baseline),Matched FAR = 0.50/hr,FAR,0.5,0.4934,0.2818,0.8719,0.3563,0.8283,0.3474,15.0,17.5,32.26
P1,P1 (Compact CTG Baseline),Matched FAR = 0.75/hr,FAR,0.75,0.7454,0.4,0.8238,0.3636,0.8451,0.3184,13.75,17.5,38.64
P1,P1 (Compact CTG Baseline),Matched FAR = 1.00/hr,FAR,1.0,0.9694,0.4455,0.7826,0.3403,0.8486,0.3039,15.0,20.0,40.82
P1,P1 (Compact CTG Baseline),Matched Sensitivity = 50%,Sensitivity,0.5,1.4138,0.5,0.7208,0.3107,0.8514,0.2864,15.0,21.25,41.82
P1,P1 (Compact CTG Baseline),Matched Sensitivity = 60%,Sensitivity,0.6,1.9038,0.6,0.6545,0.3041,0.8667,0.269,17.5,17.5,43.94
P1,P1 (Compact CTG Baseline),Matched Sensitivity = 70%,Sensitivity,0.7,3.4401,0.7,0.4943,0.2584,0.8675,0.2399,20.0,20.0,51.95
P1,P1 (Compact CTG Baseline),Matched Sensitivity = 80%,Sensitivity,0.8,5.5573,0.8,0.341,0.234,0.8713,0.2196,22.5,25.0,55.68
P2,P2 (Sequential/Event Baseline),Matched FAR = 0.25/hr,FAR,0.25,0.2485,0.2,0.9405,0.4583,0.8236,0.4482,11.25,14.38,27.27
P2,P2 (Sequential/Event Baseline),Matched FAR = 0.50/hr,FAR,0.5,0.5039,0.3455,0.8993,0.4634,0.8452,0.3917,12.5,16.88,26.32
P2,P2 (Sequential/Event Baseline),Matched FAR = 0.75/hr,FAR,0.75,0.7699,0.4636,0.8581,0.4513,0.8641,0.3594,12.5,18.75,27.45
P2,P2 (Sequential/Event Baseline),Matched FAR = 1.00/hr,FAR,1.0,1.0114,0.5182,0.8215,0.4222,0.8714,0.3392,10.0,15.0,26.32
P2,P2 (Sequential/Event Baseline),Matched Sensitivity = 50%,Sensitivity,0.5,0.9624,0.5,0.8284,0.4231,0.8681,0.3432,12.5,18.75,27.27
P2,P2 (Sequential/Event Baseline),Matched Sensitivity = 60%,Sensitivity,0.6,1.5503,0.5909,0.7346,0.3591,0.877,0.3109,10.0,20.0,33.85
P2,P2 (Sequential/Event Baseline),Matched Sensitivity = 70%,Sensitivity,0.7,2.4217,0.6909,0.627,0.318,0.8896,0.2786,15.0,22.5,38.16
P2,P2 (Sequential/Event Baseline),Matched Sensitivity = 80%,Sensitivity,0.8,3.7235,0.8091,0.508,0.2928,0.9136,0.2503,15.0,22.5,42.7
P3,P3 (Locked Snapshot Baseline),Matched FAR = 0.25/hr,FAR,0.25,0.2555,0.3545,0.8993,0.4699,0.847,0.4844,7.5,15.0,23.08
P3,P3 (Locked Snapshot Baseline),Matched FAR = 0.50/hr,FAR,0.5,0.4969,0.4727,0.8261,0.4062,0.8616,0.4069,8.75,15.62,25.0
P3,P3 (Locked Snapshot Baseline),Matched FAR = 0.75/hr,FAR,0.75,0.7454,0.5273,0.7757,0.3718,0.867,0.3656,7.5,16.88,25.86
P3,P3 (Locked Snapshot Baseline),Matched FAR = 1.00/hr,FAR,1.0,0.9939,0.5818,0.7231,0.3459,0.8729,0.3398,8.75,15.0,23.44
P3,P3 (Locked Snapshot Baseline),Matched Sensitivity = 50%,Sensitivity,0.5,0.5459,0.5,0.8124,0.4015,0.8659,0.3914,7.5,17.5,27.27
P3,P3 (Locked Snapshot Baseline),Matched Sensitivity = 60%,Sensitivity,0.6,1.2038,0.6091,0.6888,0.33,0.875,0.3191,10.0,15.0,28.36
P3,P3 (Locked Snapshot Baseline),Matched Sensitivity = 70%,Sensitivity,0.7,1.7848,0.7,0.5904,0.3008,0.8866,0.2778,12.5,17.5,31.17
P3,P3 (Locked Snapshot Baseline),Matched Sensitivity = 80%,Sensitivity,0.8,2.5477,0.8,0.4851,0.2812,0.906,0.2416,13.75,20.0,35.23
P4,P4 (Snapshot + State),Matched FAR = 0.25/hr,FAR,0.25,0.245,0.3545,0.9039,0.4815,0.8476,0.4745,7.5,16.25,25.64
P4,P4 (Snapshot + State),Matched FAR = 0.50/hr,FAR,0.5,0.5004,0.4636,0.8284,0.4048,0.8599,0.3974,10.0,16.25,27.45
