model_key,model_name,ablated_concept,horizon,horizon_min,auroc,auprc,delta_from_full_p5,delta_boot_mean,ci_95_low,ci_95_high,p_value,component_impact
Full_P5,Full P5 (Snapshot + All Trajectory Components),None (Full Model),>=30m (Primary Horizon),30,0.5355,0.2733,0.0,0.0,0.0,0.0,1.0,Reference Full Model
P5_minus_Velocity,P5 without Velocity / Risk Slope,"Velocity / Risk Slope (vel_1step, vel_4step)",>=30m (Primary Horizon),30,0.5359,0.274,-0.0004,-0.0005,-0.0049,0.0041,0.824,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Persistence,P5 without State Persistence,State Persistence (state_persist),>=30m (Primary Horizon),30,0.5366,0.2749,-0.0011,-0.001,-0.0091,0.0066,0.815,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Acceleration,P5 without Progression Acceleration,Progression Acceleration (accel_step),>=30m (Primary Horizon),30,0.5355,0.2733,0.0,0.0,-0.0005,0.0006,0.897,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Reversal,P5 without Reversal Indicator,Direction Reversal (reversal_ind),>=30m (Primary Horizon),30,0.5354,0.273,0.0002,0.0002,-0.0041,0.0041,0.942,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Multidomain,P5 without Multidomain Concurrence,"Multidomain Concurrence (multidomain_n, multidomain_c)",>=30m (Primary Horizon),30,0.5463,0.2882,-0.0108,-0.011,-0.0374,0.014,0.429,Minor / Distributed Contribution (CI overlaps 0)
Full_P5,Full P5 (Snapshot + All Trajectory Components),None (Full Model),Delivery (0m),0,0.6142,0.2982,0.0,0.0,0.0,0.0,1.0,Reference Full Model
P5_minus_Velocity,P5 without Velocity / Risk Slope,"Velocity / Risk Slope (vel_1step, vel_4step)",Delivery (0m),0,0.6175,0.2987,-0.0033,-0.0032,-0.0069,0.0002,0.069,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Persistence,P5 without State Persistence,State Persistence (state_persist),Delivery (0m),0,0.6037,0.2977,0.0105,0.0105,-0.0044,0.0252,0.179,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Acceleration,P5 without Progression Acceleration,Progression Acceleration (accel_step),Delivery (0m),0,0.6144,0.2985,-0.0002,-0.0002,-0.0007,0.0003,0.519,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Reversal,P5 without Reversal Indicator,Direction Reversal (reversal_ind),Delivery (0m),0,0.6078,0.2912,0.0064,0.0063,-0.0012,0.0136,0.104,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Multidomain,P5 without Multidomain Concurrence,"Multidomain Concurrence (multidomain_n, multidomain_c)",Delivery (0m),0,0.6152,0.2979,-0.001,-0.0011,-0.01,0.0081,0.813,Minor / Distributed Contribution (CI overlaps 0)
Full_P5,Full P5 (Snapshot + All Trajectory Components),None (Full Model),>=20m,20,0.5489,0.2773,0.0,0.0,0.0,0.0,1.0,Reference Full Model
P5_minus_Velocity,P5 without Velocity / Risk Slope,"Velocity / Risk Slope (vel_1step, vel_4step)",>=20m,20,0.5485,0.2765,0.0004,0.0003,-0.0043,0.0049,0.899,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Persistence,P5 without State Persistence,State Persistence (state_persist),>=20m,20,0.5472,0.2763,0.0017,0.0017,-0.0043,0.0078,0.583,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Acceleration,P5 without Progression Acceleration,Progression Acceleration (accel_step),>=20m,20,0.5489,0.2773,0.0,0.0,-0.0005,0.0005,0.957,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Reversal,P5 without Reversal Indicator,Direction Reversal (reversal_ind),>=20m,20,0.5491,0.2775,-0.0001,-0.0001,-0.0034,0.0031,0.94,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Multidomain,P5 without Multidomain Concurrence,"Multidomain Concurrence (multidomain_n, multidomain_c)",>=20m,20,0.5503,0.2852,-0.0014,-0.0017,-0.0221,0.0178,0.884,Minor / Distributed Contribution (CI overlaps 0)
Full_P5,Full P5 (Snapshot + All Trajectory Components),None (Full Model),>=10m,10,0.5327,0.2533,0.0,0.0,0.0,0.0,1.0,Reference Full Model
P5_minus_Velocity,P5 without Velocity / Risk Slope,"Velocity / Risk Slope (vel_1step, vel_4step)",>=10m,10,0.5332,0.2527,-0.0004,-0.0005,-0.005,0.004,0.804,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Persistence,P5 without State Persistence,State Persistence (state_persist),>=10m,10,0.5312,0.2516,0.0015,0.0015,-0.0045,0.0076,0.632,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Acceleration,P5 without Progression Acceleration,Progression Acceleration (accel_step),>=10m,10,0.5327,0.2532,0.0001,0.0001,-0.0005,0.0006,0.759,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Reversal,P5 without Reversal Indicator,Direction Reversal (reversal_ind),>=10m,10,0.5334,0.2535,-0.0006,-0.0006,-0.0038,0.0025,0.703,Minor / Distributed Contribution (CI overlaps 0)
P5_minus_Multidomain,P5 without Multidomain Concurrence,"Multidomain Concurrence (multidomain_n, multidomain_c)",>=10m,10,0.5352,0.2582,-0.0024,-0.0027,-0.0221,0.0162,0.765,Minor / Distributed Contribution (CI overlaps 0)
