metric_item,table_value,figure_value,json_value,report_value,status
Cohort Size,547,547,547,547,CONSISTENT
Primary Positives (pH <= 7.15),110,110,110,110,CONSISTENT
Severe Positives (pH <= 7.05),41,41,41,41,CONSISTENT
Causal Rolling Windows,"8,517","8,517","8,517","8,517",CONSISTENT
Phase 2 1D CNN AUROC,0.6593,0.6593,0.6593,0.6593,CONSISTENT
Phase 3 P90 Pooling AUROC,0.6701,0.6701,0.6701,0.6701,CONSISTENT
Phase 4 Logit Prior AUROC,0.7361,0.7361,0.7361,0.7361,CONSISTENT
Phase 6 Continuous Huber AUROC,0.7426,0.7426,0.7426,0.7426,CONSISTENT
P6 Delivery AUROC,0.6872,0.6872,0.6872,0.6872,CONSISTENT
P6 >=30m AUROC,0.5857,0.5857,0.5857,0.5857,CONSISTENT
P2 Delivery AUROC,0.6774,0.6774,0.6774,0.6774,CONSISTENT
P2 >=30m AUROC,0.5983,0.5983,0.5983,0.5983,CONSISTENT
P5 vs P3 Delta AUROC,+0.0165,+0.0165,+0.0165,+0.0165,CONSISTENT
Step 6 Multidomain Jump Delta,+0.0676,+0.0676,+0.0676,+0.0676,CONSISTENT
P6 Median Warning Lead Time,17.5 min,17.5 min,17.5 min,17.5 min,CONSISTENT
