tag,span,beta,inner_auroc_delivery,n_pool_patients,outer_fold
outer_fold_0,2.0,0.0,0.6718,437,0
outer_fold_0,2.0,0.2,0.6687,437,0
outer_fold_0,2.0,0.4,0.6654,437,0
outer_fold_0,2.0,0.6,0.6609,437,0
outer_fold_0,2.0,0.8,0.6592,437,0
outer_fold_0,2.0,1.0,0.6557,437,0
outer_fold_0,3.0,0.0,0.6725,437,0
outer_fold_0,3.0,0.2,0.6699,437,0
outer_fold_0,3.0,0.4,0.6665,437,0
outer_fold_0,3.0,0.6,0.6621,437,0
outer_fold_0,3.0,0.8,0.6589,437,0
outer_fold_0,3.0,1.0,0.657,437,0
outer_fold_0,4.0,0.0,0.6727,437,0
outer_fold_0,4.0,0.2,0.67,437,0
outer_fold_0,4.0,0.4,0.6675,437,0
outer_fold_0,4.0,0.6,0.6633,437,0
outer_fold_0,4.0,0.8,0.6606,437,0
outer_fold_0,4.0,1.0,0.6584,437,0
outer_fold_1,2.0,0.0,0.6952,437,1
outer_fold_1,2.0,0.2,0.6928,437,1
outer_fold_1,2.0,0.4,0.6908,437,1
outer_fold_1,2.0,0.6,0.688,437,1
outer_fold_1,2.0,0.8,0.6869,437,1
outer_fold_1,2.0,1.0,0.6837,437,1
outer_fold_1,3.0,0.0,0.6934,437,1
outer_fold_1,3.0,0.2,0.6904,437,1
outer_fold_1,3.0,0.4,0.6881,437,1
outer_fold_1,3.0,0.6,0.6866,437,1
outer_fold_1,3.0,0.8,0.6852,437,1
outer_fold_1,3.0,1.0,0.6834,437,1
outer_fold_1,4.0,0.0,0.6929,437,1
outer_fold_1,4.0,0.2,0.6893,437,1
outer_fold_1,4.0,0.4,0.6869,437,1
outer_fold_1,4.0,0.6,0.6859,437,1
outer_fold_1,4.0,0.8,0.6841,437,1
outer_fold_1,4.0,1.0,0.6841,437,1
outer_fold_2,2.0,0.0,0.6584,438,2
outer_fold_2,2.0,0.2,0.6574,438,2
outer_fold_2,2.0,0.4,0.6548,438,2
outer_fold_2,2.0,0.6,0.6521,438,2
outer_fold_2,2.0,0.8,0.6488,438,2
outer_fold_2,2.0,1.0,0.646,438,2
outer_fold_2,3.0,0.0,0.6589,438,2
outer_fold_2,3.0,0.2,0.6579,438,2
outer_fold_2,3.0,0.4,0.6552,438,2
outer_fold_2,3.0,0.6,0.6528,438,2
outer_fold_2,3.0,0.8,0.6494,438,2
outer_fold_2,3.0,1.0,0.6465,438,2
outer_fold_2,4.0,0.0,0.6597,438,2
outer_fold_2,4.0,0.2,0.6578,438,2
outer_fold_2,4.0,0.4,0.6561,438,2
outer_fold_2,4.0,0.6,0.6533,438,2
outer_fold_2,4.0,0.8,0.6501,438,2
outer_fold_2,4.0,1.0,0.6465,438,2
outer_fold_3,2.0,0.0,0.7024,438,3
outer_fold_3,2.0,0.2,0.7031,438,3
outer_fold_3,2.0,0.4,0.702,438,3
outer_fold_3,2.0,0.6,0.7009,438,3
outer_fold_3,2.0,0.8,0.7014,438,3
outer_fold_3,2.0,1.0,0.6995,438,3
outer_fold_3,3.0,0.0,0.7021,438,3
outer_fold_3,3.0,0.2,0.7034,438,3
outer_fold_3,3.0,0.4,0.7025,438,3
outer_fold_3,3.0,0.6,0.7019,438,3
outer_fold_3,3.0,0.8,0.7022,438,3
outer_fold_3,3.0,1.0,0.7014,438,3
outer_fold_3,4.0,0.0,0.7025,438,3
outer_fold_3,4.0,0.2,0.7038,438,3
outer_fold_3,4.0,0.4,0.7031,438,3
outer_fold_3,4.0,0.6,0.7021,438,3
outer_fold_3,4.0,0.8,0.7032,438,3
outer_fold_3,4.0,1.0,0.7022,438,3
outer_fold_4,2.0,0.0,0.6567,438,4
outer_fold_4,2.0,0.2,0.6536,438,4
outer_fold_4,2.0,0.4,0.6511,438,4
outer_fold_4,2.0,0.6,0.6473,438,4
outer_fold_4,2.0,0.8,0.6433,438,4
outer_fold_4,2.0,1.0,0.6401,438,4
outer_fold_4,3.0,0.0,0.6569,438,4
outer_fold_4,3.0,0.2,0.6544,438,4
outer_fold_4,3.0,0.4,0.652,438,4
outer_fold_4,3.0,0.6,0.6493,438,4
outer_fold_4,3.0,0.8,0.6466,438,4
outer_fold_4,3.0,1.0,0.6429,438,4
outer_fold_4,4.0,0.0,0.6569,438,4
outer_fold_4,4.0,0.2,0.6551,438,4
outer_fold_4,4.0,0.4,0.6531,438,4
outer_fold_4,4.0,0.6,0.6507,438,4
outer_fold_4,4.0,0.8,0.6486,438,4
outer_fold_4,4.0,1.0,0.6456,438,4
test_selection,2.0,0.0,0.7024,464,-1
test_selection,2.0,0.2,0.697,464,-1
test_selection,2.0,0.4,0.6914,464,-1
test_selection,2.0,0.6,0.6861,464,-1
test_selection,2.0,0.8,0.6819,464,-1
test_selection,2.0,1.0,0.677,464,-1
test_selection,3.0,0.0,0.7025,464,-1
test_selection,3.0,0.2,0.6967,464,-1
test_selection,3.0,0.4,0.6914,464,-1
test_selection,3.0,0.6,0.6861,464,-1
test_selection,3.0,0.8,0.6821,464,-1
test_selection,3.0,1.0,0.6775,464,-1
test_selection,4.0,0.0,0.7024,464,-1
test_selection,4.0,0.2,0.6965,464,-1
test_selection,4.0,0.4,0.6916,464,-1
test_selection,4.0,0.6,0.6863,464,-1
test_selection,4.0,0.8,0.6826,464,-1
test_selection,4.0,1.0,0.6785,464,-1
