ladder_step,step_code,step_name,description,horizon,horizon_min,cv_auroc,cv_auprc,cv_brier,cv_stepwise_delta_auroc,cv_stepwise_ci_low,cv_stepwise_ci_high,cv_stepwise_p_boot,cv_stepwise_p_delong,cv_total_delta_from_baseline,cv_total_ci_low,cv_total_ci_high,cv_total_p_boot,cv_total_p_delong,test_auroc,test_auprc,test_brier,test_stepwise_delta_auroc,test_stepwise_p_delong,test_total_delta_from_baseline,test_total_p_delong,median_lead_time_min,false_alert_rate
0,Step_0_Baseline,Step 0: Current Full System (P6) Baseline,Standard unweighted 40-D multidomain framework baseline,Delivery (0m),0,0.6872,0.4067,0.1484,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6497,0.3291,0.1704,0.0,1.0,0.0,1.0,32.5,0.8261
1,Step_1_Features_Only,Step 1: + Novelty / Elapsed Features As Input Only,"Exposing novelty, novelty_smoothed, and elapsed_monitoring_min to model input (unweighted); elapsed time now gap-aware",Delivery (0m),0,0.7016,0.4258,0.143,0.0144,-0.0027,0.0328,0.108,0.1048,0.0144,-0.0027,0.0328,0.108,0.1048,0.6408,0.3442,0.1666,-0.0089,0.5318,-0.0089,0.5318,37.5,0.9336
2,Step_2_Patient_Norm,Step 2: + Patient Normalization Weight Only (w_pat),Applying patient-normalization loss weight K / n_windows(patient) (novelty unweighted),Delivery (0m),0,0.6985,0.4191,0.1436,-0.0031,-0.0129,0.007,0.524,0.5214,0.0113,-0.0113,0.0346,0.326,0.3241,0.6417,0.3679,0.165,0.0009,0.9222,-0.008,0.6622,40.0,0.9748
3,Step_3_Novelty_Weighting,Step 3: + Novelty Weighting on Top of Patient Norm,"Applying composite weight w_pat * w_nov with beta=1.0, span=3.0",Delivery (0m),0,0.689,0.4133,0.1446,-0.0094,-0.0222,0.0025,0.144,0.1537,0.0019,-0.0272,0.0298,0.886,0.8954,0.6283,0.3189,0.1692,-0.0134,0.205,-0.0214,0.2371,40.0,0.9817
4,Step_4_Shrinkage_Prior,Step 4: + Elapsed-Time Empirical Prior (Shrinkage),"Applying composite weight with empirical horizon shrinkage; beta/span selected via NESTED inner CV, independently per outer fold / per test selection (see hyperparameter_sweep.csv)",Delivery (0m),0,0.7004,0.4245,0.1429,0.0114,-0.0009,0.024,0.076,0.0813,0.0133,-0.0086,0.0354,0.234,0.2336,0.6471,0.3696,0.1651,0.0187,0.0869,-0.0027,0.8905,37.5,0.9519
0,Step_0_Baseline,Step 0: Current Full System (P6) Baseline,Standard unweighted 40-D multidomain framework baseline,>=30m (Primary Horizon),30,0.5857,0.2946,0.1592,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6845,0.4307,0.1492,0.0,1.0,0.0,1.0,32.5,0.8261
1,Step_1_Features_Only,Step 1: + Novelty / Elapsed Features As Input Only,"Exposing novelty, novelty_smoothed, and elapsed_monitoring_min to model input (unweighted); elapsed time now gap-aware",>=30m (Primary Horizon),30,0.5876,0.3049,0.1579,0.0019,-0.0109,0.0158,0.823,0.7898,0.0019,-0.0109,0.0158,0.823,0.7898,0.6827,0.4298,0.1503,-0.0018,0.7611,-0.0018,0.7611,37.5,0.9336
2,Step_2_Patient_Norm,Step 2: + Patient Normalization Weight Only (w_pat),Applying patient-normalization loss weight K / n_windows(patient) (novelty unweighted),>=30m (Primary Horizon),30,0.5705,0.2983,0.1592,-0.0171,-0.0286,-0.0059,0.002,0.0025,-0.0152,-0.0342,0.0036,0.117,0.1154,0.6809,0.4194,0.1514,-0.0018,0.8445,-0.0036,0.7482,40.0,0.9748
3,Step_3_Novelty_Weighting,Step 3: + Novelty Weighting on Top of Patient Norm,"Applying composite weight w_pat * w_nov with beta=1.0, span=3.0",>=30m (Primary Horizon),30,0.5457,0.2999,0.1599,-0.0247,-0.0434,-0.0057,0.011,0.0121,-0.04,-0.0688,-0.0131,0.005,0.0055,0.6729,0.4129,0.1517,-0.008,0.4925,-0.0116,0.3843,40.0,0.9817
4,Step_4_Shrinkage_Prior,Step 4: + Elapsed-Time Empirical Prior (Shrinkage),"Applying composite weight with empirical horizon shrinkage; beta/span selected via NESTED inner CV, independently per outer fold / per test selection (see hyperparameter_sweep.csv)",>=30m (Primary Horizon),30,0.5683,0.2996,0.1592,0.0226,0.0048,0.0404,0.015,0.0156,-0.0174,-0.036,0.0024,0.087,0.0761,0.6845,0.4263,0.1506,0.0116,0.1993,0.0,1.0,37.5,0.9519
0,Step_0_Baseline,Step 0: Current Full System (P6) Baseline,Standard unweighted 40-D multidomain framework baseline,>=20m,20,0.5869,0.2868,0.1601,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6809,0.3988,0.1535,0.0,1.0,0.0,1.0,32.5,0.8261
1,Step_1_Features_Only,Step 1: + Novelty / Elapsed Features As Input Only,"Exposing novelty, novelty_smoothed, and elapsed_monitoring_min to model input (unweighted); elapsed time now gap-aware",>=20m,20,0.5896,0.297,0.1586,0.0026,-0.0089,0.0158,0.689,0.6825,0.0026,-0.0089,0.0158,0.689,0.6825,0.6863,0.3674,0.1545,0.0053,0.6553,0.0053,0.6553,37.5,0.9336
2,Step_2_Patient_Norm,Step 2: + Patient Normalization Weight Only (w_pat),Applying patient-normalization loss weight K / n_windows(patient) (novelty unweighted),>=20m,20,0.5762,0.2915,0.1597,-0.0134,-0.0238,-0.0029,0.006,0.009,-0.0107,-0.0278,0.0072,0.225,0.225,0.7014,0.4114,0.1546,0.0152,0.3099,0.0205,0.3933,40.0,0.9748
3,Step_3_Novelty_Weighting,Step 3: + Novelty Weighting on Top of Patient Norm,"Applying composite weight w_pat * w_nov with beta=1.0, span=3.0",>=20m,20,0.5556,0.2898,0.1606,-0.0206,-0.0403,-0.0008,0.041,0.0376,-0.0313,-0.0599,-0.0034,0.028,0.026,0.6881,0.3704,0.1557,-0.0134,0.3435,0.0071,0.7179,40.0,0.9817
4,Step_4_Shrinkage_Prior,Step 4: + Elapsed-Time Empirical Prior (Shrinkage),"Applying composite weight with empirical horizon shrinkage; beta/span selected via NESTED inner CV, independently per outer fold / per test selection (see hyperparameter_sweep.csv)",>=20m,20,0.5721,0.2903,0.1601,0.0165,-0.0023,0.035,0.083,0.0802,-0.0149,-0.0315,0.0033,0.113,0.0969,0.7032,0.3863,0.1544,0.0152,0.1898,0.0223,0.2815,37.5,0.9519
0,Step_0_Baseline,Step 0: Current Full System (P6) Baseline,Standard unweighted 40-D multidomain framework baseline,>=10m,10,0.5814,0.2837,0.1611,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.68,0.3693,0.1559,0.0,1.0,0.0,1.0,32.5,0.8261
