horizon_min,candidate,tier,auroc_single_window_cv,auroc_candidate_cv,delta_cv,boot_p_cv,delong_p_cv,ci_low_cv,ci_high_cv,auroc_single_window_test,auroc_candidate_test,delta_test,boot_p_test,delong_p_test,auprc_candidate_cv
0,p90,PRIMARY CONFIRMATORY,0.6872,0.7178,0.0307,0.225,0.2249,-0.0189,0.0822,0.6497,0.6622,0.0125,0.797,0.8172,0.4264
0,max,exploratory,0.6872,0.721,0.0338,0.14,0.1422,-0.0083,0.0796,0.6497,0.713,0.0633,0.08,0.0763,0.4115
0,mean,exploratory,0.6872,0.6926,0.0054,0.865,0.844,-0.0492,0.0601,0.6497,0.6488,-0.0009,0.956,0.9871,0.4121
10,p90,exploratory,0.6859,0.6436,-0.0423,0.055,0.054,-0.0865,0.0011,0.5802,0.6364,0.0561,0.367,0.3592,0.3462
10,max,exploratory,0.6859,0.6464,-0.0394,0.064,0.0592,-0.0803,0.002,0.5802,0.6373,0.057,0.325,0.3065,0.3381
10,mean,exploratory,0.6859,0.6319,-0.0539,0.015,0.0128,-0.0966,-0.0119,0.5802,0.607,0.0267,0.604,0.6054,0.3546
20,p90,exploratory,0.6238,0.6014,-0.0224,0.319,0.314,-0.0648,0.0243,0.6123,0.6783,0.066,0.271,0.2756,0.3157
20,max,exploratory,0.6238,0.6035,-0.0203,0.388,0.3787,-0.0645,0.0267,0.6123,0.6747,0.0624,0.294,0.286,0.3167
20,mean,exploratory,0.6238,0.5976,-0.0262,0.159,0.1482,-0.0623,0.0101,0.6123,0.6346,0.0223,0.648,0.6293,0.3274
30,p90,secondary-confirmatory-horizon,0.5828,0.609,0.0261,0.216,0.2047,-0.016,0.0688,0.6078,0.6979,0.09,0.189,0.192,0.3102
30,max,exploratory,0.5828,0.6126,0.0298,0.176,0.169,-0.0135,0.0735,0.6078,0.713,0.1052,0.108,0.1255,0.3163
30,mean,exploratory,0.5828,0.5956,0.0127,0.43,0.4272,-0.0197,0.0448,0.6078,0.6631,0.0553,0.374,0.3605,0.3014
