horizon_min,representation,cv_auroc,cv_delta,cv_p,cv_ci_low,cv_ci_high,test_auroc,test_delta,test_p,cv_delong_p,cv_auprc,test_delong_p
0,single_window,0.6872,0.0,,,,0.6497,0.0,,,,
0,p90,0.7178,0.0307,0.225,-0.0189,0.0822,0.6622,0.0125,0.797,0.2249,0.4264,0.8172
0,max,0.721,0.0338,0.14,-0.0083,0.0796,0.713,0.0633,0.08,0.1422,0.4115,0.0763
0,mean,0.6926,0.0054,0.865,-0.0492,0.0601,0.6488,-0.0009,0.956,0.844,0.4121,0.9871
0,median,0.6536,-0.0336,0.283,-0.0969,0.0293,0.6061,-0.0437,0.553,0.2934,0.3678,0.5468
10,single_window,0.6859,0.0,,,,0.5802,0.0,,,,
10,p90,0.6436,-0.0423,0.055,-0.0865,0.0011,0.6364,0.0561,0.367,0.054,0.3462,0.3592
10,max,0.6464,-0.0394,0.064,-0.0803,0.002,0.6373,0.057,0.325,0.0592,0.3381,0.3065
10,mean,0.6319,-0.0539,0.015,-0.0966,-0.0119,0.607,0.0267,0.604,0.0128,0.3546,0.6054
10,median,0.6186,-0.0673,0.006,-0.1148,-0.0199,0.5882,0.008,0.881,0.0051,0.3438,0.873
20,single_window,0.6238,0.0,,,,0.6123,0.0,,,,
20,p90,0.6014,-0.0224,0.319,-0.0648,0.0243,0.6783,0.066,0.271,0.314,0.3157,0.2756
20,max,0.6035,-0.0203,0.388,-0.0645,0.0267,0.6747,0.0624,0.294,0.3787,0.3167,0.286
20,mean,0.5976,-0.0262,0.159,-0.0623,0.0101,0.6346,0.0223,0.648,0.1482,0.3274,0.6293
20,median,0.5868,-0.037,0.045,-0.0729,-0.0006,0.607,-0.0053,0.877,0.0351,0.3223,0.8954
30,single_window,0.5828,0.0,,,,0.6078,0.0,,,,
30,p90,0.609,0.0261,0.216,-0.016,0.0688,0.6979,0.09,0.189,0.2047,0.3102,0.192
30,max,0.6126,0.0298,0.176,-0.0135,0.0735,0.713,0.1052,0.108,0.169,0.3163,0.1255
30,mean,0.5956,0.0127,0.43,-0.0197,0.0448,0.6631,0.0553,0.374,0.4272,0.3014,0.3605
30,median,0.5824,-0.0004,0.951,-0.0356,0.0327,0.6515,0.0437,0.548,0.9817,0.2864,0.5222
