horizon_min,representation,threshold,sensitivity,specificity,false_alert_rate,median_lead_min,pct_detected_ge20min,pct_detected_ge30min
0,single_window,0.1841,0.8,0.4325,0.5675,32.5,0.6455,0.5364
0,p90,0.2232,0.8,0.4714,0.5286,17.5,0.4909,0.3909
0,max,0.2713,0.8,0.4851,0.5149,12.5,0.3818,0.2545
0,mean,0.1543,0.8,0.4142,0.5858,40.0,0.7545,0.6727
0,median,0.1375,0.8,0.3707,0.6293,40.0,0.8273,0.7273
10,single_window,0.1436,0.8,0.4622,0.5378,32.5,0.6455,0.5364
10,p90,0.1795,0.8,0.373,0.627,17.5,0.4909,0.3909
10,max,0.1933,0.8,0.3547,0.6453,12.5,0.3818,0.2545
10,mean,0.1355,0.8,0.3089,0.6911,40.0,0.7545,0.6727
10,median,0.1252,0.8,0.2975,0.7025,40.0,0.8273,0.7273
20,single_window,0.1194,0.8,0.3364,0.6636,32.5,0.6455,0.5364
20,p90,0.1542,0.8,0.2609,0.7391,17.5,0.4909,0.3909
20,max,0.1643,0.8,0.2677,0.7323,12.5,0.3818,0.2545
20,mean,0.1312,0.8,0.2906,0.7094,40.0,0.7545,0.6727
20,median,0.1236,0.8,0.2517,0.7483,40.0,0.8273,0.7273
30,single_window,0.108,0.8,0.2243,0.7757,32.5,0.6455,0.5364
30,p90,0.1524,0.8,0.2906,0.7094,17.5,0.4909,0.3909
30,max,0.1598,0.8,0.3181,0.6819,12.5,0.3818,0.2545
30,mean,0.1357,0.8,0.286,0.714,40.0,0.7545,0.6727
30,median,0.1311,0.8,0.2723,0.7277,40.0,0.8273,0.7273
