horizon,system,cv_auroc,cv_delta_vs_m3only,cv_p_vs_m3only_canonical,n_splits_sig_of_6,test_auroc,test_delta_vs_m3only,achieved_sensitivity,false_alert_rate,median_lead_min
Delivery,A3_selected,0.7335,0.0119,0.468,0.0,0.7433,0.0704,0.8636,0.6247,40.0
Delivery,A3_fixed_0.75,0.7331,0.0115,0.01,6.0,0.6863,0.0134,0.8727,0.6499,35.0
Delivery,F2_deployable,0.7291,0.0075,0.567,0.0,0.7077,0.0348,0.8636,0.6636,40.0
Delivery,A4_sum_to_one,0.7203,-0.0012,0.938,0.0,0.7353,0.0624,0.8545,0.6339,40.0
Delivery,M3_only,0.7216,0.0,1.0,,,0.0,0.8818,0.6934,32.5
>=10m,A3_selected,0.6921,0.0238,0.231,0.0,0.6988,0.1346,0.8636,0.6247,40.0
>=10m,A3_fixed_0.75,0.6838,0.0155,0.01,6.0,0.6016,0.0374,0.8727,0.6499,35.0
>=10m,F2_deployable,0.689,0.0207,0.169,0.0,0.6417,0.0775,0.8636,0.6636,40.0
>=10m,A4_sum_to_one,0.6854,0.0171,0.378,0.0,0.6961,0.1319,0.8545,0.6339,40.0
>=10m,M3_only,0.6683,0.0,1.0,,,0.0,0.8818,0.6934,32.5
>=20m,A3_selected,0.6638,0.0623,0.001,6.0,0.7558,0.1355,0.8636,0.6247,40.0
>=20m,A3_fixed_0.75,0.6278,0.0263,0.001,6.0,0.6702,0.0499,0.8727,0.6499,35.0
>=20m,F2_deployable,0.6466,0.0451,0.002,6.0,0.697,0.0766,0.8636,0.6636,40.0
>=20m,A4_sum_to_one,0.6512,0.0497,0.012,6.0,0.7567,0.1364,0.8545,0.6339,40.0
>=20m,M3_only,0.6015,0.0,1.0,,,0.0,0.8818,0.6934,32.5
>=30m,A3_selected,0.6631,0.0654,0.0,6.0,0.7754,0.1096,0.8636,0.6247,40.0
>=30m,A3_fixed_0.75,0.6226,0.0249,0.0,6.0,0.7041,0.0383,0.8727,0.6499,35.0
>=30m,F2_deployable,0.6449,0.0472,0.0,6.0,0.7371,0.0713,0.8636,0.6636,40.0
>=30m,A4_sum_to_one,0.6515,0.0538,0.01,6.0,0.7692,0.1034,0.8545,0.6339,40.0
>=30m,M3_only,0.5976,0.0,1.0,,,0.0,0.8818,0.6934,32.5
