model,fold,alpha,intercept,coef_m3,coef_parity,coef_interaction,g1,g0,scale
A3_selected_once,0,0.35000000000000003,,,,,,,
F2_deployable,0,,-1.4898358827508515,0.4702825046069879,0.34980830912752336,,,,
F7_deployable,0,,-1.0312166498582225,0.3191580611481466,0.2398751993917661,-0.21478236779698234,,,
A4_sum_to_one_deployable,0,,,,,,0.4,1.4732496419125347,2.0450298295384
A3_selected_once,1,0.30000000000000004,,,,,,,
F2_deployable,1,,-1.4586612846304323,0.3519253763412772,0.3614180422571101,,,,
F7_deployable,1,,-1.016071847609064,0.20271821138933843,0.2481074576814511,-0.21230917561288035,,,
A4_sum_to_one_deployable,1,,,,,,0.30000000000000004,1.0406106935488486,1.7601634014360923
A3_selected_once,2,0.35000000000000003,,,,,,,
F2_deployable,2,,-1.4639648572083506,0.3975708796675204,0.265109601904035,,,,
F7_deployable,2,,-1.1219013093654595,0.27832672487947635,0.17812130847002333,-0.1624342297316939,,,
A4_sum_to_one_deployable,2,,,,,,0.4,0.826696775284862,1.5961473164311029
A3_selected_once,3,0.35000000000000003,,,,,,,
F2_deployable,3,,-1.4778349480507096,0.4060446811238293,0.34802208274099494,,,,
F7_deployable,3,,-0.9971725352708943,0.2330969848565368,0.2362325170385523,-0.23254969253111749,,,
A4_sum_to_one_deployable,3,,,,,,0.35000000000000003,1.1819437644623028,1.8653752267935895
A3_selected_once,4,0.30000000000000004,,,,,,,
F2_deployable,4,,-1.4798438706376869,0.41743746948567356,0.35744805284836345,,,,
F7_deployable,4,,-0.9802717027595604,0.24407044920031007,0.2402622051076148,-0.23643263672749834,,,
A4_sum_to_one_deployable,4,,,,,,0.35000000000000003,1.27743994853385,1.9124944484605633
