split,horizon_min,model,auroc,delta_vs_m3only,p_vs_m3only,ci_low,ci_high
CANONICAL,0,A3_fixed_a0.25,0.7248,0.0032,0.869,-0.0353,0.0421
CANONICAL,0,A3_fixed_a0.5,0.7388,0.0172,0.133,-0.005,0.0401
CANONICAL,0,A3_fixed_a0.75,0.7331,0.0115,0.01,0.003,0.02
CANONICAL,0,A3_selected_once,0.7335,0.0119,0.452,-0.0211,0.0444
CANONICAL,0,F2_deployable,0.7302,0.0086,0.525,-0.0176,0.0351
CANONICAL,0,F7_deployable,0.734,0.0124,0.332,-0.0122,0.0379
CANONICAL,0,A4_sum_to_one_deployable,0.7234,0.0019,0.908,-0.0342,0.0381
CANONICAL,10,A3_fixed_a0.25,0.6877,0.0194,0.399,-0.0245,0.0618
CANONICAL,10,A3_fixed_a0.5,0.6953,0.027,0.053,-0.0002,0.0543
CANONICAL,10,A3_fixed_a0.75,0.6838,0.0155,0.01,0.0035,0.0281
CANONICAL,10,A3_selected_once,0.6957,0.0274,0.16,-0.0099,0.0645
CANONICAL,10,F2_deployable,0.6893,0.021,0.171,-0.0078,0.049
CANONICAL,10,F7_deployable,0.6916,0.0234,0.135,-0.0058,0.0516
CANONICAL,10,A4_sum_to_one_deployable,0.689,0.0207,0.306,-0.0176,0.058
CANONICAL,20,A3_fixed_a0.25,0.6614,0.0599,0.008,0.0157,0.1042
CANONICAL,20,A3_fixed_a0.5,0.653,0.0515,0.0,0.0198,0.0821
CANONICAL,20,A3_fixed_a0.75,0.6278,0.0263,0.001,0.0113,0.041
CANONICAL,20,A3_selected_once,0.6675,0.066,0.0,0.0283,0.1039
CANONICAL,20,F2_deployable,0.6476,0.0461,0.003,0.0136,0.0775
CANONICAL,20,F7_deployable,0.6509,0.0495,0.001,0.017,0.0803
CANONICAL,20,A4_sum_to_one_deployable,0.6559,0.0545,0.005,0.0137,0.0947
CANONICAL,30,A3_fixed_a0.25,0.6625,0.0648,0.002,0.0225,0.107
CANONICAL,30,A3_fixed_a0.5,0.6473,0.0497,0.0,0.0216,0.078
CANONICAL,30,A3_fixed_a0.75,0.6226,0.0249,0.0,0.0117,0.0376
CANONICAL,30,A3_selected_once,0.6646,0.0669,0.0,0.0304,0.1037
CANONICAL,30,F2_deployable,0.6455,0.0479,0.001,0.0179,0.077
CANONICAL,30,F7_deployable,0.6467,0.0491,0.001,0.0185,0.0783
CANONICAL,30,A4_sum_to_one_deployable,0.6571,0.0595,0.005,0.0194,0.0974
resplit_11,0,A3_fixed_a0.25,0.7203,-0.0013,0.933,-0.0403,0.0376
resplit_11,0,A3_fixed_a0.5,0.7361,0.0145,0.22,-0.0091,0.038
