horizon,model,cv_auroc,cv_auprc,cv_delta_vs_m3only,cv_p_vs_m3only,cv_ci_low,cv_ci_high,test_auroc,test_delta_vs_m3only,test_p_vs_m3only
Delivery,A3_fixed_a0.25,0.7248,0.4307,0.0032,0.869,-0.0353,0.0421,0.7504,0.0775,0.048
Delivery,A3_fixed_a0.5,0.7388,0.4429,0.0172,0.133,-0.005,0.0401,0.7184,0.0455,0.004
Delivery,A3_fixed_a0.75,0.7331,0.4407,0.0115,0.01,0.003,0.02,0.6863,0.0134,0.047
Delivery,A3_selected_once,0.7335,0.4345,0.0119,0.468,-0.0211,0.0454,0.7433,0.0704,0.004
Delivery,F2_deployable,0.7291,0.4322,0.0075,0.567,-0.0184,0.0342,0.7077,0.0348,0.045
Delivery,F7_deployable,0.7329,0.4352,0.0113,0.367,-0.0131,0.0366,0.7094,0.0365,0.013
Delivery,A4_sum_to_one_deployable,0.7203,0.4217,-0.0012,0.938,-0.0386,0.0361,0.7353,0.0624,0.036
>=10m,A3_fixed_a0.25,0.6877,0.38,0.0194,0.399,-0.0245,0.0618,0.7157,0.1515,0.013
>=10m,A3_fixed_a0.5,0.6953,0.3817,0.027,0.053,-0.0002,0.0543,0.6586,0.0945,0.0
>=10m,A3_fixed_a0.75,0.6838,0.3717,0.0155,0.01,0.0035,0.0281,0.6016,0.0374,0.001
>=10m,A3_selected_once,0.6921,0.3846,0.0238,0.231,-0.0146,0.0612,0.6988,0.1346,0.0
>=10m,F2_deployable,0.689,0.3754,0.0207,0.169,-0.0077,0.0479,0.6417,0.0775,0.001
>=10m,F7_deployable,0.6907,0.3727,0.0225,0.138,-0.0058,0.0502,0.6435,0.0793,0.001
>=10m,A4_sum_to_one_deployable,0.6854,0.3726,0.0171,0.378,-0.0209,0.0534,0.6961,0.1319,0.001
>=20m,A3_fixed_a0.25,0.6614,0.3428,0.0599,0.008,0.0157,0.1042,0.7799,0.1595,0.0
>=20m,A3_fixed_a0.5,0.653,0.3478,0.0515,0.0,0.0198,0.0821,0.7175,0.0971,0.0
>=20m,A3_fixed_a0.75,0.6278,0.3348,0.0263,0.001,0.0113,0.041,0.6702,0.0499,0.0
>=20m,A3_selected_once,0.6638,0.3441,0.0623,0.001,0.0239,0.1017,0.7558,0.1355,0.0
>=20m,F2_deployable,0.6466,0.3283,0.0451,0.002,0.0139,0.0753,0.697,0.0766,0.0
>=20m,F7_deployable,0.6494,0.3325,0.048,0.001,0.0159,0.078,0.7014,0.0811,0.0
>=20m,A4_sum_to_one_deployable,0.6512,0.323,0.0497,0.012,0.0089,0.0908,0.7567,0.1364,0.0
>=30m,A3_fixed_a0.25,0.6625,0.3385,0.0648,0.002,0.0225,0.107,0.7843,0.1185,0.001
>=30m,A3_fixed_a0.5,0.6473,0.3314,0.0497,0.0,0.0216,0.078,0.746,0.0802,0.0
>=30m,A3_fixed_a0.75,0.6226,0.3164,0.0249,0.0,0.0117,0.0376,0.7041,0.0383,0.0
>=30m,A3_selected_once,0.6631,0.3365,0.0654,0.0,0.0271,0.1033,0.7754,0.1096,0.0
>=30m,F2_deployable,0.6449,0.3192,0.0472,0.0,0.0183,0.0761,0.7371,0.0713,0.0
>=30m,F7_deployable,0.6472,0.32,0.0495,0.001,0.0202,0.0785,0.7353,0.0695,0.0
>=30m,A4_sum_to_one_deployable,0.6515,0.3199,0.0538,0.01,0.0147,0.0927,0.7692,0.1034,0.0
