horizon_min,model,n_splits_sig_positive,mean_delta,min_delta,max_p,mean_auroc
0,A3_fixed_a0.75,6,0.0111,0.0104,0.019,0.7326
0,A3_fixed_a0.25,0,0.0013,-0.0013,0.964,0.7229
0,A3_fixed_a0.5,0,0.0161,0.0145,0.22,0.7377
0,A3_selected_once,0,0.0103,0.0068,0.695,0.7319
0,F2_deployable,0,0.0092,0.0078,0.563,0.7308
0,F7_deployable,0,0.0122,0.0101,0.455,0.7338
0,A4_sum_to_one_deployable,0,0.0033,0.0014,0.913,0.7249
10,A3_fixed_a0.75,6,0.0148,0.0136,0.031,0.6831
10,A3_fixed_a0.25,0,0.0172,0.0143,0.56,0.6854
10,A3_fixed_a0.5,0,0.0257,0.024,0.119,0.6939
10,A3_selected_once,0,0.025,0.0229,0.254,0.6933
10,F2_deployable,0,0.0224,0.0208,0.195,0.6906
10,F7_deployable,0,0.0236,0.0216,0.177,0.6918
10,A4_sum_to_one_deployable,0,0.0228,0.0197,0.328,0.6911
20,A3_fixed_a0.25,6,0.0532,0.0482,0.039,0.6547
20,A3_fixed_a0.5,6,0.0489,0.0468,0.005,0.6504
20,A3_fixed_a0.75,6,0.0255,0.0243,0.003,0.6269
20,A3_selected_once,6,0.0616,0.0595,0.002,0.6631
20,F2_deployable,6,0.0471,0.045,0.007,0.6486
20,F7_deployable,6,0.0492,0.0458,0.008,0.6507
20,A4_sum_to_one_deployable,6,0.0564,0.0534,0.007,0.6579
30,A3_fixed_a0.25,6,0.0609,0.0553,0.016,0.6585
30,A3_fixed_a0.5,6,0.047,0.0436,0.007,0.6446
30,A3_fixed_a0.75,6,0.0245,0.0237,0.0,0.6221
30,A3_selected_once,6,0.0641,0.0621,0.003,0.6617
30,F2_deployable,6,0.0475,0.0445,0.007,0.6452
30,F7_deployable,6,0.0486,0.0442,0.009,0.6462
30,A4_sum_to_one_deployable,6,0.06,0.058,0.007,0.6576
