horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
0,CANONICAL,B0_prevalence,0.4986,-0.223,-0.223,0.0,-0.2338,0.0
0,CANONICAL,B1_parity_only,0.5755,-0.1461,-0.1461,0.0,-0.1569,0.0
0,CANONICAL,B2_m3_only,0.7216,0.0,0.0,1.0,-0.0108,0.172
0,CANONICAL,F2_hybrid_C0.1,0.7324,0.0108,0.0108,0.172,0.0,1.0
0,CANONICAL,A3_prob_avg_a0.25,0.7248,0.0032,0.0032,0.869,-0.0076,0.574
0,CANONICAL,A3_prob_avg_a0.5,0.7388,0.0172,0.0172,0.133,0.0064,0.14
0,CANONICAL,A3_prob_avg_a0.75,0.7331,0.0115,0.0115,0.01,0.0007,0.873
0,CANONICAL,A3_prob_avg_selected,0.734,0.0124,0.0124,0.306,0.0016,0.79
0,CANONICAL,A4_logit_unconstrained,0.7326,0.011,0.011,0.192,0.0002,0.808
0,CANONICAL,A4_logit_nonneg,0.7326,0.011,0.011,0.192,0.0002,0.781
0,CANONICAL,A4_logit_sum_to_one,0.7331,0.0115,0.0115,0.273,0.0007,0.813
0,CANONICAL,A4_logit_equal,0.7339,0.0123,0.0123,0.325,0.0015,0.782
0,CANONICAL,F1_unregularized,0.7326,0.011,0.011,0.192,0.0002,0.781
0,CANONICAL,F3_l1,0.7269,0.0053,0.0053,0.142,-0.0055,0.267
0,CANONICAL,F7_interaction,0.7351,0.0135,0.0135,0.109,0.0027,0.108
0,CANONICAL,P3_categorical_parity,0.732,0.0104,0.0104,0.081,-0.0004,0.874
0,resplit_11,B0_prevalence,0.4986,-0.223,-0.223,0.0,-0.23,0.0
0,resplit_11,B1_parity_only,0.5708,-0.1507,-0.1507,0.0,-0.1577,0.0
0,resplit_11,B2_m3_only,0.7216,0.0,0.0,1.0,-0.007,0.42
0,resplit_11,F2_hybrid_C0.1,0.7286,0.007,0.007,0.42,0.0,1.0
0,resplit_11,A3_prob_avg_a0.25,0.7203,-0.0013,-0.0013,0.933,-0.0083,0.524
0,resplit_11,A3_prob_avg_a0.5,0.7361,0.0145,0.0145,0.22,0.0075,0.088
0,resplit_11,A3_prob_avg_a0.75,0.732,0.0104,0.0104,0.018,0.0034,0.496
0,resplit_11,A3_prob_avg_selected,0.7309,0.0093,0.0093,0.458,0.0023,0.64
0,resplit_11,A4_logit_unconstrained,0.728,0.0064,0.0064,0.497,-0.0006,0.541
0,resplit_11,A4_logit_nonneg,0.7279,0.0063,0.0063,0.5,-0.0006,0.526
0,resplit_11,A4_logit_sum_to_one,0.7289,0.0073,0.0073,0.513,0.0003,0.941
0,resplit_11,A4_logit_equal,0.7326,0.011,0.011,0.407,0.0041,0.449
0,resplit_11,F1_unregularized,0.728,0.0064,0.0064,0.497,-0.0006,0.543
0,resplit_11,F3_l1,0.7229,0.0013,0.0013,0.778,-0.0057,0.23
0,resplit_11,F7_interaction,0.7307,0.0092,0.0092,0.333,0.0022,0.234
0,resplit_11,P3_categorical_parity,0.7305,0.0089,0.0089,0.156,0.0019,0.828
0,resplit_22,B0_prevalence,0.4986,-0.223,-0.223,0.0,-0.2332,0.0
0,resplit_22,B1_parity_only,0.5731,-0.1485,-0.1485,0.0,-0.1587,0.0
0,resplit_22,B2_m3_only,0.7216,0.0,0.0,1.0,-0.0102,0.231
