model,horizon_min,seed,flagged_significant_in_main_ablation,auroc,delta_vs_m3,p_vs_m3,ci_low_vs_m3,ci_high_vs_m3,delta_vs_f2,p_vs_f2,ci_low_vs_f2,ci_high_vs_f2
A3_prob_avg_a0.5,0,42,False,0.7388,0.0173,0.133,-0.005,0.0401,0.0066,0.174,-0.0027,0.016
A3_prob_avg_a0.5,0,1,False,0.7388,0.0171,0.133,-0.006,0.0394,0.0066,0.161,-0.0027,0.016
A3_prob_avg_a0.5,0,7,False,0.7388,0.0173,0.137,-0.0056,0.0391,0.0066,0.17,-0.0029,0.0155
A3_prob_avg_a0.5,0,123,False,0.7388,0.0173,0.141,-0.006,0.0389,0.0066,0.169,-0.0028,0.0156
A3_prob_avg_a0.5,0,2024,False,0.7388,0.0169,0.152,-0.0061,0.0387,0.0063,0.183,-0.0033,0.0157
A3_prob_avg_a0.5,10,42,True,0.6953,0.0268,0.053,-0.0002,0.0543,0.0066,0.048,0.0001,0.0132
A3_prob_avg_a0.5,10,1,True,0.6953,0.0267,0.065,-0.0025,0.0538,0.0067,0.036,0.0005,0.013
A3_prob_avg_a0.5,10,7,True,0.6953,0.0275,0.057,-0.0007,0.0544,0.0067,0.044,0.0003,0.0134
A3_prob_avg_a0.5,10,123,True,0.6953,0.0268,0.062,-0.0009,0.0533,0.0066,0.047,0.0001,0.0132
A3_prob_avg_a0.5,10,2024,True,0.6953,0.0267,0.07,-0.002,0.053,0.0065,0.044,0.0002,0.0132
A3_prob_avg_a0.5,20,42,False,0.653,0.0513,0.0,0.0198,0.0821,0.0068,0.261,-0.0041,0.0197
A3_prob_avg_a0.5,20,1,False,0.653,0.0513,0.001,0.0205,0.0811,0.0067,0.235,-0.0042,0.0195
A3_prob_avg_a0.5,20,7,False,0.653,0.0518,0.0,0.0214,0.0815,0.0068,0.23,-0.0039,0.0196
A3_prob_avg_a0.5,20,123,False,0.653,0.0515,0.001,0.0197,0.0817,0.0069,0.274,-0.004,0.0191
A3_prob_avg_a0.5,20,2024,False,0.653,0.0512,0.001,0.0198,0.0815,0.0066,0.228,-0.0036,0.0195
A3_prob_avg_a0.5,30,42,False,0.6473,0.0496,0.0,0.0216,0.078,0.0037,0.675,-0.0099,0.02
A3_prob_avg_a0.5,30,1,False,0.6473,0.0497,0.0,0.021,0.0776,0.0037,0.688,-0.01,0.0213
A3_prob_avg_a0.5,30,7,False,0.6473,0.0498,0.001,0.0219,0.077,0.0039,0.644,-0.0101,0.0208
A3_prob_avg_a0.5,30,123,False,0.6473,0.0497,0.001,0.0213,0.0791,0.0038,0.666,-0.0105,0.0205
A3_prob_avg_a0.5,30,2024,False,0.6473,0.0493,0.0,0.0203,0.0793,0.0036,0.665,-0.01,0.0208
A3_prob_avg_selected,0,42,False,0.7382,0.0167,0.123,-0.0039,0.0378,0.006,0.16,-0.0019,0.0142
A3_prob_avg_selected,0,1,False,0.7382,0.0166,0.13,-0.005,0.0371,0.006,0.149,-0.0022,0.014
A3_prob_avg_selected,0,7,False,0.7382,0.0168,0.119,-0.0045,0.0367,0.0061,0.16,-0.0023,0.014
