model,horizon_min,resplit_seed,auroc,delta_vs_canonical_m3,delta_vs_resplit_f2,p_vs_resplit_f2,ci_low_vs_resplit_f2,ci_high_vs_resplit_f2
A3_prob_avg_a0.5,0,11,0.7361,0.0145,0.0075,0.088,-0.0014,0.0173
A3_prob_avg_selected,0,11,0.7309,0.0093,0.0023,0.64,-0.0064,0.0116
A3_prob_avg_a0.25,0,11,0.7203,-0.0013,-0.0083,0.524,-0.0355,0.0183
F7_interaction,0,11,0.7307,0.0092,0.0022,0.234,-0.0013,0.0062
F2_hybrid_C0.1_resplit_refit,0,11,0.7286,0.007,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,0,22,0.7374,0.0158,0.0056,0.19,-0.0025,0.0142
A3_prob_avg_selected,0,22,0.7313,0.0097,-0.0006,0.919,-0.0088,0.0083
A3_prob_avg_a0.25,0,22,0.7229,0.0013,-0.0089,0.483,-0.034,0.0158
F7_interaction,0,22,0.7333,0.0118,0.0015,0.425,-0.0018,0.0053
F2_hybrid_C0.1_resplit_refit,0,22,0.7318,0.0102,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,0,33,0.7382,0.0166,0.0081,0.074,-0.0007,0.018
A3_prob_avg_selected,0,33,0.7368,0.0152,0.0067,0.126,-0.0021,0.016
A3_prob_avg_a0.25,0,33,0.7211,-0.0005,-0.0091,0.516,-0.0373,0.0189
F7_interaction,0,33,0.7334,0.0118,0.0032,0.052,-0.0,0.007
F2_hybrid_C0.1_resplit_refit,0,33,0.7302,0.0086,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,0,44,0.7386,0.017,0.008,0.082,-0.0008,0.0178
A3_prob_avg_selected,0,44,0.732,0.0104,0.0014,0.795,-0.009,0.0119
A3_prob_avg_a0.25,0,44,0.7249,0.0033,-0.0057,0.663,-0.031,0.019
F7_interaction,0,44,0.7333,0.0117,0.0027,0.097,-0.0004,0.0062
F2_hybrid_C0.1_resplit_refit,0,44,0.7306,0.009,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,0,55,0.7373,0.0157,0.0065,0.132,-0.0018,0.0151
A3_prob_avg_selected,0,55,0.7325,0.0109,0.0017,0.742,-0.0082,0.0113
A3_prob_avg_a0.25,0,55,0.7235,0.0019,-0.0073,0.57,-0.0321,0.0167
F7_interaction,0,55,0.7333,0.0117,0.0025,0.141,-0.0009,0.0061
F2_hybrid_C0.1_resplit_refit,0,55,0.7308,0.0092,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,10,11,0.694,0.0258,0.008,0.029,0.001,0.0152
A3_prob_avg_selected,10,11,0.6595,-0.0088,-0.0265,0.082,-0.0598,0.0037
A3_prob_avg_a0.25,10,11,0.6828,0.0145,-0.0033,0.783,-0.0287,0.0202
F7_interaction,10,11,0.6872,0.019,0.0012,0.399,-0.0014,0.0038
F2_hybrid_C0.1_resplit_refit,10,11,0.6861,0.0178,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,10,22,0.6923,0.024,0.0069,0.025,0.0006,0.0137
A3_prob_avg_selected,10,22,0.6957,0.0274,0.0103,0.108,-0.0018,0.0227
A3_prob_avg_a0.25,10,22,0.6825,0.0143,-0.0029,0.812,-0.0283,0.0212
F7_interaction,10,22,0.6864,0.0182,0.001,0.449,-0.0015,0.0037
F2_hybrid_C0.1_resplit_refit,10,22,0.6854,0.0171,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,10,33,0.6939,0.0257,0.0055,0.073,-0.0005,0.0115
A3_prob_avg_selected,10,33,0.6938,0.0255,0.0054,0.463,-0.0091,0.0187
A3_prob_avg_a0.25,10,33,0.6838,0.0155,-0.0047,0.72,-0.0299,0.0199
F7_interaction,10,33,0.6897,0.0215,0.0013,0.317,-0.0011,0.0038
F2_hybrid_C0.1_resplit_refit,10,33,0.6884,0.0202,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,10,44,0.6942,0.0259,0.0032,0.321,-0.0024,0.0095
A3_prob_avg_selected,10,44,0.6983,0.03,0.0073,0.243,-0.0046,0.0193
A3_prob_avg_a0.25,10,44,0.6878,0.0196,-0.0032,0.791,-0.0276,0.0182
F7_interaction,10,44,0.6914,0.0232,0.0004,0.801,-0.002,0.003
F2_hybrid_C0.1_resplit_refit,10,44,0.691,0.0228,0.0,1.0,0.0,0.0
