horizon_min,model,n_splits_sig_positive_vs_m3,n_splits_sig_positive_vs_f2,mean_delta_vs_m3_across_splits,min_delta_vs_m3_across_splits,mean_auroc
0,A3_prob_avg_a0.75,6,0,0.0111,0.0104,0.7326
0,P3_categorical_parity,1,0,0.0105,0.0089,0.7321
0,B0_prevalence,0,0,-0.223,-0.223,0.4986
0,B1_parity_only,0,0,-0.1488,-0.1537,0.5727
0,F2_hybrid_C0.1,0,0,0.0091,0.007,0.7307
0,A3_prob_avg_a0.25,0,0,0.0013,-0.0013,0.7229
0,A3_prob_avg_a0.5,0,0,0.0161,0.0145,0.7377
0,A3_prob_avg_selected,0,0,0.0113,0.0093,0.7329
0,A4_logit_unconstrained,0,0,0.0087,0.0064,0.7303
0,A4_logit_nonneg,0,0,0.0086,0.0063,0.7302
0,A4_logit_sum_to_one,0,0,0.0073,0.003,0.7288
0,A4_logit_equal,0,0,0.0115,0.0098,0.7331
0,F1_unregularized,0,0,0.0086,0.0064,0.7302
0,F3_l1,0,0,0.0033,0.0013,0.7249
0,F7_interaction,0,0,0.0116,0.0092,0.7332
10,A3_prob_avg_a0.75,6,0,0.0148,0.0136,0.6831
10,P3_categorical_parity,4,0,0.0207,0.018,0.689
10,F3_l1,1,0,0.0122,0.0076,0.6804
10,B0_prevalence,0,0,-0.1696,-0.1696,0.4986
10,B1_parity_only,0,0,-0.0955,-0.1004,0.5727
10,F2_hybrid_C0.1,0,0,0.02,0.0171,0.6883
10,A3_prob_avg_a0.25,0,0,0.0172,0.0143,0.6854
10,A3_prob_avg_a0.5,0,2,0.0257,0.024,0.6939
10,A3_prob_avg_selected,0,0,0.0212,-0.0088,0.6895
10,A4_logit_unconstrained,0,0,0.0206,0.0171,0.6889
10,A4_logit_nonneg,0,0,0.0206,0.0172,0.6889
10,A4_logit_sum_to_one,0,0,0.0184,-0.0049,0.6867
10,A4_logit_equal,0,0,0.0231,0.0217,0.6914
10,F1_unregularized,0,0,0.0206,0.0171,0.6888
10,F7_interaction,0,0,0.0212,0.0182,0.6894
20,F2_hybrid_C0.1,6,0,0.0482,0.0449,0.6496
20,A3_prob_avg_a0.25,6,0,0.0532,0.0482,0.6547
20,A3_prob_avg_a0.5,6,0,0.0489,0.0468,0.6504
20,A3_prob_avg_a0.75,6,0,0.0255,0.0243,0.6269
20,A3_prob_avg_selected,6,5,0.0621,0.0551,0.6636
20,A4_logit_unconstrained,6,0,0.0499,0.0473,0.6514
20,A4_logit_nonneg,6,0,0.0499,0.0474,0.6514
20,A4_logit_sum_to_one,6,1,0.056,0.0511,0.6575
20,A4_logit_equal,6,0,0.0477,0.0466,0.6491
20,F1_unregularized,6,0,0.0499,0.0473,0.6514
20,F7_interaction,6,0,0.0508,0.0465,0.6523
20,P3_categorical_parity,6,0,0.0437,0.0408,0.6452
20,F3_l1,5,0,0.037,0.0325,0.6385
20,B0_prevalence,0,0,-0.1028,-0.1028,0.4986
20,B1_parity_only,0,0,-0.0287,-0.0336,0.5727
30,F2_hybrid_C0.1,6,0,0.0502,0.0467,0.6478
30,A3_prob_avg_a0.25,6,2,0.0609,0.0553,0.6585
30,A3_prob_avg_a0.5,6,0,0.047,0.0436,0.6446
30,A3_prob_avg_a0.75,6,0,0.0245,0.0237,0.6221
30,A3_prob_avg_selected,6,1,0.0583,0.0474,0.6559
30,A4_logit_unconstrained,6,1,0.0527,0.0488,0.6503
30,A4_logit_nonneg,6,1,0.0527,0.0488,0.6503
30,A4_logit_equal,6,0,0.0482,0.0462,0.6458
30,F1_unregularized,6,1,0.0527,0.0488,0.6503
30,F7_interaction,6,0,0.0502,0.0457,0.6479
30,P3_categorical_parity,6,0,0.0428,0.0383,0.6405
30,A4_logit_sum_to_one,5,3,0.0576,0.0361,0.6552
30,F3_l1,5,0,0.0405,0.0348,0.6381
30,B0_prevalence,0,0,-0.099,-0.099,0.4986
30,B1_parity_only,0,0,-0.0249,-0.0298,0.5727
