model,fold,intercept,coef_m3,coef_parity,g0,g1,g2,coef_interaction,coef_parity_cat1,coef_parity_cat2,coef_parity_cat3plus
F2_hybrid_C0.1,0,-1.540524434287367,0.6715807507792538,0.2766905348403348,,,,,,,
A4_logit_unconstrained,0,,,,1.0600593736942143,1.2153237412626123,0.724150935744997,,,,
A4_logit_nonneg,0,,,,1.059133502852809,1.2150506106413865,0.7237817145911226,,,,
A4_logit_sum_to_one,0,,,,-0.06549054443611016,0.6000000000000001,0.3999999999999999,,,,
A4_logit_equal,0,,,,1.196427760950634,1.0,1.0,,,,
F1_unregularized,0,-1.5947771491427751,0.7744960464315656,0.34431406918270474,,,,,,,
F3_l1,0,-1.3390252160015053,0.593749176136969,0.09538987831948963,,,,,,,
F7_interaction,0,-0.9163258966558209,0.41442121997167536,0.12718442885864814,,,,-0.3355208887302655,,,
P3_categorical_parity,0,-1.4154063254249556,0.6851056070616363,,,,,,-0.41965480421227636,0.003914692449795424,-0.08220676608690212
F2_hybrid_C0.1,1,-1.5388103826305648,0.6591273912790793,0.2869668659947406,,,,,,,
A4_logit_unconstrained,1,,,,1.0196466930795238,1.1802226189983218,0.7575600514510535,,,,
A4_logit_nonneg,1,,,,1.0195682354288083,1.180162120527167,0.7575380158602273,,,,
A4_logit_sum_to_one,1,,,,-0.08916919985766836,0.6000000000000001,0.3999999999999999,,,,
A4_logit_equal,1,,,,1.1473925614140237,1.0,1.0,,,,
F1_unregularized,1,-1.5935641801248943,0.7591226860585838,0.3615279319543807,,,,,,,
F3_l1,1,-1.3365446717042329,0.5821712106826935,0.09985293130636116,,,,,,,
F7_interaction,1,-0.9064833340322778,0.39401705692305583,0.13208002080573053,,,,-0.35131015801098275,,,
P3_categorical_parity,1,-1.4127620285167422,0.670193135574666,,,,,,-0.5196020946462037,0.05651361022122889,-0.0951048521166312
F2_hybrid_C0.1,2,-1.5360878273013887,0.6759468441475774,0.21968793488738317,,,,,,,
A4_logit_unconstrained,2,,,,0.7731422958227299,1.1842649326556578,0.5832293557091482,,,,
A4_logit_nonneg,2,,,,0.7748450574525044,1.1849564895229852,0.5841390564654231,,,,
A4_logit_sum_to_one,2,,,,-0.08841685652743593,0.55,0.44999999999999996,,,,
A4_logit_equal,2,,,,1.1319820158724434,1.0,1.0,,,,
F1_unregularized,2,-1.586361782697976,0.7814385432235923,0.26558256618029524,,,,,,,
F3_l1,2,-1.339588248160897,0.5968674622685469,0.046352491171775416,,,,,,,
F7_interaction,2,-1.0215152591780503,0.44850955527089903,0.09821879520114063,,,,-0.2878965900330045,,,
P3_categorical_parity,2,-1.439549602840501,0.6856283171477758,,,,,,-0.3593947359742122,0.037916031675626,-0.07070963257588965
F2_hybrid_C0.1,3,-1.568372868439545,0.7366094312979032,0.2776344928962401,,,,,,,
A4_logit_unconstrained,3,,,,1.1184144028233098,1.2801272781497972,0.777737628182801,,,,
A4_logit_nonneg,3,,,,1.1168344937648966,1.280089851614954,0.7764802930567505,,,,
A4_logit_sum_to_one,3,,,,-0.10288302429000729,0.6000000000000001,0.3999999999999999,,,,
A4_logit_equal,3,,,,1.1314249887448111,1.0,1.0,,,,
F1_unregularized,3,-1.6319063652493202,0.8543681713683363,0.3459358485511721,,,,,,,
F3_l1,3,-1.3627671868700824,0.6594143838447544,0.09904855708247,,,,,,,
F7_interaction,3,-0.9817078184964811,0.47446590248285325,0.14809226751307214,,,,-0.3319033498676426,,,
P3_categorical_parity,3,-1.4555895742085194,0.7507185792216595,,,,,,-0.3549349802729354,-0.07344878467055063,-0.05751970799919849
F2_hybrid_C0.1,4,-1.5656506400124437,0.7304408596505467,0.27583076822453717,,,,,,,
A4_logit_unconstrained,4,,,,1.1563521051159458,1.3160426505485425,0.7336113705263212,,,,
A4_logit_nonneg,4,,,,1.1547286353085193,1.3154063073763491,0.7328127671545505,,,,
A4_logit_sum_to_one,4,,,,-0.07617975488944029,0.6000000000000001,0.3999999999999999,,,,
A4_logit_equal,4,,,,1.1820126971888008,1.0,1.0,,,,
F1_unregularized,4,-1.6271851169617029,0.8462928339718708,0.3398559734210003,,,,,,,
F3_l1,4,-1.361528303544903,0.6544316874143333,0.09949492874132267,,,,,,,
F7_interaction,4,-0.8035093010961643,0.412896094990194,0.10552375999210366,,,,-0.4171103211160523,,,
P3_categorical_parity,4,-1.4434024013242963,0.7399790674217799,,,,,,-0.39537404432322276,-0.033991247733255514,-0.07257923798604148
