horizon,model,cv_auroc,cv_auprc,cv_brier,test_auroc,cv_delta_vs_m3,cv_p_vs_m3,cv_ci_low_vs_m3,cv_ci_high_vs_m3,cv_delta_vs_hybrid,cv_p_vs_hybrid,test_delta_vs_m3,test_p_vs_m3
Delivery,B0_prevalence,0.4986,0.2007,0.1607,0.5,-0.223,0.0,-0.2994,-0.1497,-0.2337,0.0,-0.1729,0.044
Delivery,B1_parity_only,0.5755,0.2323,0.1574,0.652,-0.1461,0.0,-0.2202,-0.0723,-0.1568,0.0,-0.0209,0.82
Delivery,B2_m3_only,0.7216,0.4335,0.1424,0.6729,0.0,1.0,0.0,0.0,-0.0107,0.159,0.0,1.0
Delivery,F2_hybrid_C0.1,0.7323,0.4349,0.1404,0.6889,0.0107,0.159,-0.0049,0.0255,0.0,1.0,0.016,0.047
Delivery,A3_prob_avg_a0.25,0.7248,0.4307,0.1507,0.7504,0.0032,0.869,-0.0353,0.0421,-0.0075,0.592,0.0775,0.048
Delivery,A3_prob_avg_a0.5,0.7388,0.4429,0.146,0.7184,0.0172,0.133,-0.005,0.0401,0.0065,0.174,0.0455,0.004
Delivery,A3_prob_avg_a0.75,0.7331,0.4407,0.1432,0.6863,0.0115,0.01,0.003,0.02,0.0008,0.845,0.0134,0.047
Delivery,A3_prob_avg_selected,0.7382,0.4413,0.1456,0.7023,0.0166,0.123,-0.0039,0.0378,0.0059,0.16,0.0294,0.01
Delivery,A4_logit_unconstrained,0.7329,0.4339,0.1399,0.6863,0.0113,0.16,-0.005,0.027,0.0006,0.331,0.0134,0.076
Delivery,A4_logit_nonneg,0.7329,0.4339,0.1399,0.6863,0.0113,0.158,-0.0049,0.027,0.0006,0.319,0.0134,0.076
Delivery,A4_logit_sum_to_one,0.7336,0.4409,0.1454,0.6952,0.012,0.209,-0.0062,0.0303,0.0013,0.583,0.0223,0.038
Delivery,A4_logit_equal,0.7336,0.4406,0.1406,0.7148,0.012,0.339,-0.013,0.0373,0.0013,0.804,0.0419,0.028
Delivery,F1_unregularized,0.7329,0.4339,0.1399,0.6863,0.0113,0.158,-0.0049,0.027,0.0006,0.319,0.0134,0.076
Delivery,F3_l1,0.7263,0.4375,0.142,0.6738,0.0047,0.18,-0.0022,0.0115,-0.006,0.201,0.0009,1.0
Delivery,F7_interaction,0.7357,0.44,0.1401,0.6881,0.0141,0.083,-0.0018,0.0303,0.0034,0.036,0.0152,0.017
Delivery,P3_categorical_parity,0.732,0.4357,0.1403,0.68,0.0104,0.081,-0.0012,0.022,-0.0003,0.89,0.0071,0.402
>=10m,B0_prevalence,0.4986,0.2007,0.1607,0.5,-0.1696,0.0,-0.2474,-0.0937,-0.1901,0.0,-0.0642,0.469
>=10m,B1_parity_only,0.5755,0.2323,0.1574,0.652,-0.0928,0.023,-0.1703,-0.0148,-0.1132,0.001,0.0878,0.456
>=10m,B2_m3_only,0.6683,0.3612,0.1495,0.5642,0.0,1.0,0.0,0.0,-0.0204,0.104,0.0,1.0
>=10m,F2_hybrid_C0.1,0.6887,0.3808,0.148,0.6141,0.0204,0.104,-0.0031,0.0439,0.0,1.0,0.0499,0.002
>=10m,A3_prob_avg_a0.25,0.6877,0.38,0.153,0.7157,0.0194,0.399,-0.0245,0.0618,-0.001,0.938,0.1515,0.013
