minutes_before_delivery,n_patients,n_positive,window_auroc,sd_score,mean_abs_window_to_window_jump
0.0,547,110,0.6872,0.1414,0.04690000042319298
2.5,544,109,0.7076,0.1319,0.0414000004529953
5.0,542,109,0.7117,0.1199,0.03840000182390213
7.5,538,107,0.7105,0.1166,0.034699998795986176
10.0,531,107,0.6842,0.1113,0.03359999880194664
12.5,531,106,0.6666,0.1087,0.031199999153614044
15.0,526,105,0.6403,0.1152,0.029200000688433647
17.5,517,102,0.6155,0.1134,0.028699999675154686
20.0,515,103,0.6097,0.1052,0.026799999177455902
22.5,510,100,0.5861,0.0979,0.02590000070631504
25.0,499,99,0.5921,0.0967,0.025499999523162842
27.5,489,95,0.5786,0.0948,0.025499999523162842
30.0,480,91,0.5706,0.0905,0.02539999969303608
32.5,460,86,0.5775,0.0928,0.02969999983906746
35.0,447,80,0.5862,0.0991,0.026100000366568565
37.5,430,77,0.598,0.0994,0.026900000870227814
40.0,411,73,0.5997,0.1044,
