horizon_min,model,cv_auroc,delta_vs_PRS,p_vs_PRS,delta_vs_TAM,p_vs_TAM
0,PRS_single_window,0.6872,0.0,,-0.0344,0.014
0,Max,0.721,0.0338,0.14,-0.0006,0.939
0,P90,0.7178,0.0307,0.225,-0.0038,0.82
0,Mean,0.6926,0.0054,0.865,-0.029,0.107
0,TAM,0.7216,0.0344,0.014,0.0,
0,full_2param,0.7017,0.0145,0.051,-0.0199,0.011
0,recency_only,0.7031,0.0159,0.051,-0.0185,0.019
0,risk_only,0.7041,0.017,0.52,-0.0175,0.307
10,PRS_single_window,0.6859,0.0,,0.0176,0.141
10,Max,0.6464,-0.0394,0.064,-0.0218,0.154
10,P90,0.6436,-0.0423,0.055,-0.0247,0.112
10,Mean,0.6319,-0.0539,0.015,-0.0364,0.008
10,TAM,0.6683,-0.0176,0.141,0.0,
10,full_2param,0.6776,-0.0083,0.335,0.0093,0.078
10,recency_only,0.6765,-0.0094,0.267,0.0082,0.115
10,risk_only,0.6382,-0.0476,0.028,-0.03,0.026
20,PRS_single_window,0.6238,0.0,,0.0223,0.052
20,Max,0.6035,-0.0203,0.388,0.002,0.942
20,P90,0.6014,-0.0224,0.319,-0.0,0.954
20,Mean,0.5976,-0.0262,0.159,-0.0038,0.669
20,TAM,0.6015,-0.0223,0.052,0.0,
20,full_2param,0.6054,-0.0184,0.021,0.004,0.428
20,recency_only,0.6082,-0.0156,0.045,0.0067,0.192
20,risk_only,0.6004,-0.0234,0.228,-0.001,0.916
30,PRS_single_window,0.5828,0.0,,-0.0148,0.237
30,Max,0.6126,0.0298,0.176,0.015,0.264
30,P90,0.609,0.0261,0.216,0.0114,0.329
30,Mean,0.5956,0.0127,0.43,-0.0021,0.706
30,TAM,0.5976,0.0148,0.237,0.0,
30,full_2param,0.5946,0.0118,0.226,-0.003,0.483
30,recency_only,0.5925,0.0097,0.275,-0.0051,0.315
30,risk_only,0.5975,0.0147,0.373,-0.0001,0.974
