resplit_seed,arm,vs,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30
11,A1,A0,-0.0074162679425837,0.355,-0.0230544430769829,0.0081981648242042,-0.0047846889952153,0.732,-0.0173288953609319,0.159,0.0008529228208862,0.928,-0.0084044102350738,0.291
11,A2,A0,0.0013469939671312,0.431,-0.00225064028095,0.0049238194982828,0.0002288329519449,0.959,0.0042230081131683,0.115,0.0016018306636156,0.521,-0.0006656958602039,0.817
11,A3,A0,-0.003702933222384,0.639,-0.0192139198318456,0.0114321542485044,-0.000894528812149,0.949,-0.0081963802787601,0.51,0.003536509257333,0.686,-0.0092573330559601,0.259
22,A1,A0,-0.0023507385063449016,0.725,-0.014624119461116228,0.009984992189073269,-0.006781776575826903,0.671,-0.017952985229873097,0.073,0.006324110671936722,0.442,0.009007697108383672,0.165
22,A2,A0,-0.0016746411483253842,0.111,-0.0037057571652788696,0.0003964665682392332,-0.005117536925317245,0.026,-6.240898689413577e-05,1.0,-0.001310588724776407,0.363,-0.00020802995631374888,0.844
22,A3,A0,-0.003349282296650713,0.66,-0.017474948006539544,0.010264666729792508,-0.008674849178281652,0.574,-0.023569794050343318,0.043,0.010755148741418807,0.233,0.00809236530060331,0.266
33,A1,A0,-0.001695444143956698,0.788,-0.013924134699474396,0.010430994473259262,-0.0038069482005408384,0.758,-0.00888287913459529,0.401,0.007634699396713129,0.313,-0.0017266486374037937,0.78
33,A2,A0,-0.0011545662575410676,0.335,-0.003529168562833093,0.0011955848800624398,-0.0023923444976076125,0.337,0.0003120449344705678,0.914,-0.002205117536925316,0.118,-0.0003328479301019094,0.685
33,A3,A0,-0.0038121489494487015,0.571,-0.016576192129761677,0.008840888717769044,-0.006386519658830858,0.634,-0.0067193675889327675,0.552,0.005096733929685904,0.518,-0.007239442479717084,0.31
44,A1,A0,-0.013547950904930273,0.039,-0.026371120212030235,-0.0009087882397776806,-0.02248803827751189,0.085,-0.021302267526523755,0.039,-0.0037445392136467026,0.621,-0.006656958602038743,0.292
44,A2,A0,-0.0010245475348449606,0.347,-0.00301526022477343,0.001078209931686057,-0.0032036613272310444,0.145,-0.0007489078427292961,0.714,-6.240898689402474e-05,0.985,-8.321198252547735e-05,0.994
44,A3,A0,-0.013417932182234193,0.046,-0.026094353724768562,-0.0001269045303679809,-0.023424173080923594,0.071,-0.019638027876014097,0.044,-0.0023507385063448183,0.775,-0.008258789265654265,0.228
55,A1,A0,0.0076034949032660615,0.239,-0.00437875185874428,0.020210504407186348,0.021593509465363092,0.09,-0.008633243187018969,0.393,0.015165383815269329,0.086,0.0022883295194507935,0.706
55,A2,A0,-2.0802995631369336e-05,0.985,-0.002794740950837514,0.002728949112778594,-0.002870813397129135,0.243,0.005741626794258381,0.023,0.0009153318077802508,0.762,-0.003869357187434974,0.124
55,A3,A0,0.007899937591013123,0.224,-0.005011099726775952,0.02118759810450905,0.026898273351362634,0.057,-0.010318285833159968,0.335,0.01393800707301851,0.125,0.0010817557728313165,0.864
