split,arm,seed,fold,epochs,cap_hit,best_val_obj
canonical,A0,42,0,200,True,0.45638
canonical,A0,43,0,200,True,0.45636
canonical,A0,44,0,200,True,0.4564
canonical,A1,42,0,34,False,0.46547
canonical,A1,43,0,30,False,0.46621
canonical,A1,44,0,25,False,0.46697
canonical,A2,42,0,200,True,0.55694
canonical,A2,43,0,200,True,0.55651
canonical,A2,44,0,200,True,0.557
canonical,A3,42,0,54,False,0.58217
canonical,A3,43,0,56,False,0.58434
canonical,A3,44,0,37,False,0.58802
canonical,A0,42,1,192,False,0.44577
canonical,A0,43,1,174,False,0.44579
canonical,A0,44,1,200,True,0.44573
canonical,A1,42,1,159,False,0.44422
canonical,A1,43,1,196,False,0.44493
canonical,A1,44,1,200,True,0.44474
canonical,A2,42,1,200,True,0.50683
canonical,A2,43,1,200,True,0.50642
canonical,A2,44,1,200,True,0.50667
canonical,A3,42,1,200,True,0.50314
canonical,A3,43,1,158,False,0.5102
canonical,A3,44,1,181,False,0.51466
canonical,A0,42,2,132,False,0.48078
canonical,A0,43,2,130,False,0.48078
canonical,A0,44,2,134,False,0.48081
canonical,A1,42,2,11,False,0.48409
canonical,A1,43,2,11,False,0.48385
canonical,A1,44,2,11,False,0.4848
canonical,A2,42,2,122,False,0.63917
canonical,A2,43,2,117,False,0.63908
canonical,A2,44,2,119,False,0.63906
canonical,A3,42,2,11,False,0.64649
canonical,A3,43,2,11,False,0.64599
canonical,A3,44,2,11,False,0.64732
canonical,A0,42,3,129,False,0.4684
canonical,A0,43,3,117,False,0.46845
canonical,A0,44,3,120,False,0.46854
canonical,A1,42,3,55,False,0.45792
canonical,A1,43,3,56,False,0.45723
canonical,A1,44,3,54,False,0.45799
canonical,A2,42,3,90,False,0.60112
canonical,A2,43,3,72,False,0.60097
canonical,A2,44,3,82,False,0.60194
canonical,A3,42,3,49,False,0.57125
canonical,A3,43,3,53,False,0.57025
canonical,A3,44,3,52,False,0.56974
canonical,A0,42,4,200,True,0.4992
canonical,A0,43,4,200,True,0.49921
canonical,A0,44,4,200,True,0.49928
canonical,A1,42,4,49,False,0.50077
canonical,A1,43,4,34,False,0.50042
canonical,A1,44,4,40,False,0.50154
canonical,A2,42,4,200,True,0.64538
canonical,A2,43,4,200,True,0.64513
canonical,A2,44,4,200,True,0.64554
canonical,A3,42,4,49,False,0.6507
canonical,A3,43,4,33,False,0.64917
canonical,A3,44,4,42,False,0.65259
test_model,A0,42,-1,200,True,0.48979
test_model,A0,43,-1,200,True,0.48979
test_model,A0,44,-1,200,True,0.48974
test_model,A1,42,-1,47,False,0.48788
test_model,A1,43,-1,43,False,0.4878
test_model,A1,44,-1,43,False,0.48786
test_model,A2,42,-1,200,True,0.62363
test_model,A2,43,-1,200,True,0.62222
test_model,A2,44,-1,200,True,0.62239
test_model,A3,42,-1,50,False,0.62771
test_model,A3,43,-1,46,False,0.62809
test_model,A3,44,-1,45,False,0.62844
