split,arm,seed,fold,epochs,cap_hit,best_val_obj
resplit_11,A0,42,0,29,False,0.52572
resplit_11,A0,43,0,35,False,0.52536
resplit_11,A0,44,0,47,False,0.5244
resplit_11,A1,42,0,184,False,0.5085
resplit_11,A1,43,0,173,False,0.50844
resplit_11,A1,44,0,200,True,0.51016
resplit_11,A2,42,0,61,False,0.72963
resplit_11,A2,43,0,51,False,0.72837
resplit_11,A2,44,0,68,False,0.72586
resplit_11,A3,42,0,200,True,0.66727
resplit_11,A3,43,0,167,False,0.67576
resplit_11,A3,44,0,184,False,0.6756
resplit_11,A0,42,1,174,False,0.49999
resplit_11,A0,43,1,154,False,0.50006
resplit_11,A0,44,1,200,True,0.50001
resplit_11,A1,42,1,59,False,0.50379
resplit_11,A1,43,1,69,False,0.5041
resplit_11,A1,44,1,59,False,0.50447
resplit_11,A2,42,1,200,True,0.64703
resplit_11,A2,43,1,200,True,0.64654
resplit_11,A2,44,1,200,True,0.64659
resplit_11,A3,42,1,67,False,0.66566
resplit_11,A3,43,1,45,False,0.67017
resplit_11,A3,44,1,58,False,0.66927
resplit_11,A0,42,2,190,False,0.49726
resplit_11,A0,43,2,200,True,0.49731
resplit_11,A0,44,2,200,True,0.49728
resplit_11,A1,42,2,44,False,0.49461
resplit_11,A1,43,2,37,False,0.49675
resplit_11,A1,44,2,38,False,0.49598
resplit_11,A2,42,2,168,False,0.63997
resplit_11,A2,43,2,131,False,0.63894
resplit_11,A2,44,2,119,False,0.64139
resplit_11,A3,42,2,200,True,0.60919
resplit_11,A3,43,2,43,False,0.6363
resplit_11,A3,44,2,128,False,0.6238
resplit_11,A0,42,3,99,False,0.47777
resplit_11,A0,43,3,87,False,0.47784
resplit_11,A0,44,3,91,False,0.47788
resplit_11,A1,42,3,11,False,0.48033
resplit_11,A1,43,3,11,False,0.48045
resplit_11,A1,44,3,11,False,0.48159
resplit_11,A2,42,3,96,False,0.62542
resplit_11,A2,43,3,79,False,0.62578
resplit_11,A2,44,3,94,False,0.62636
resplit_11,A3,42,3,11,False,0.63461
resplit_11,A3,43,3,14,False,0.63412
resplit_11,A3,44,3,11,False,0.63811
resplit_11,A0,42,4,200,True,0.48125
resplit_11,A0,43,4,198,False,0.48127
resplit_11,A0,44,4,200,True,0.48127
resplit_11,A1,42,4,200,True,0.48564
resplit_11,A1,43,4,73,False,0.48793
resplit_11,A1,44,4,61,False,0.4885
resplit_11,A2,42,4,200,True,0.6109
resplit_11,A2,43,4,200,True,0.61072
resplit_11,A2,44,4,200,True,0.61091
resplit_11,A3,42,4,200,True,0.63285
resplit_11,A3,43,4,55,False,0.64041
