cand,split,chosen,alpha_mean,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_cand,M_base,M_PRS_cand,M_PRS_base
C1,CANONICAL,tau=20|tau=20|tau=40|tau=40|tau=20,0.29,-0.002079529316291323,0.674,-0.012135481937668467,0.008002080105246024,0.004985073761701875,0.413,-0.0066950699939135605,0.309,-0.003999652204156101,0.516,-0.0026084688287975055,0.664,0.6650146364084283,0.6670941657247196,0.64242964379909,0.6390386343216532
C1,resplit_11,tau=20|tau=20|tau=40|tau=20|tau=20,0.27,0.000507202272266194,0.904,-0.008610030673876586,0.01028860956205373,0.010115062458337043,0.075,-0.002260672984957801,0.719,-0.0062893081761006275,0.317,0.0004637277917861615,0.944,0.6639422658899226,0.6634350636176565,0.6404732921774918,0.6383647798742139
C1,resplit_22,tau=20|tau=20|tau=20|tau=20|tau=20,0.25,-0.0024635538938642954,0.638,-0.013105845557641278,0.007788782756239114,0.010144045445323657,0.068,-0.006115410254180831,0.33,-0.006839984928846743,0.342,-0.007042865837753265,0.323,0.6593049879720604,0.6617685418659247,0.630459670173608,0.6263295945280121
C1,resplit_33,tau=20|tau=20|tau=20|tau=20|tau=40,0.27,0.0027316465234906995,0.636,-0.008538811686622292,0.014109871757398801,0.015476915050865125,0.027,0.006521172071993764,0.249,-0.006666087006926946,0.413,-0.004405414021969145,0.599,0.6562617743384633,0.6535301278149727,0.6297133582587021,0.6221560444019361
C1,resplit_44,tau=20|tau=20|tau=20|tau=20|tau=20,0.3,0.005832826131061064,0.311,-0.0056687662388552685,0.016800061978814534,0.01350607193577369,0.082,-0.002666434802770734,0.771,0.002550502854824166,0.724,0.009941164536417135,0.184,0.6547039387879314,0.6488711126568704,0.6400747761064256,0.6298945019273686
C1,resplit_55,tau=20|tau=20|tau=40|tau=20|tau=20,0.26,0.0010216502912790137,0.787,-0.007810897485871568,0.010303942247846283,0.010984552067936137,0.049,0.005245920644581625,0.264,-0.004405414021969145,0.489,-0.007738457525432563,0.212,0.6519578007709476,0.6509361504796685,0.6261267136191055,0.6222647306031359
C2,CANONICAL,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.31,0.004716981132075471,0.716,-0.01951682070265847,0.029265954902960162,0.009477436744630863,0.517,0.0030142306466104385,0.814,-0.005390835579514808,0.718,0.01176709271657539,0.465,0.6718111468567951,0.6670941657247196,0.6411978668521578,0.6390386343216532
C2,resplit_11,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.33,0.01494072979161229,0.183,-0.007799919250726318,0.03769184203161021,0.02921485088253195,0.059,0.013940816740573236,0.24,-0.0008984725965858198,0.955,0.01750572413992979,0.274,0.6783757934092687,0.6634350636176565,0.6413137988001043,0.6383647798742139
C2,resplit_22,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.34,0.00019563516215981291,0.957,-0.02273887081825508,0.023270245100640415,0.005477784540474762,0.684,-0.0006666087006926835,0.984,-0.002666434802770734,0.866,-0.0013622003883720923,0.912,0.6619641770280846,0.6617685418659247,0.6330681390024055,0.6263295945280121
C2,resplit_33,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.34,0.0022389357447178404,0.851,-0.02260463899128047,0.02828104307326517,0.00907167492681793,0.559,0.0023766049329043692,0.855,-0.006260325189114013,0.711,0.003767788308263076,0.818,0.6557690635596904,0.6535301278149727,0.618323044372953,0.6221560444019361
C2,resplit_44,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.33,-0.0022679187317044824,0.85,-0.02171148918993922,0.016866420523087334,-0.002463553893864323,0.864,-0.0066950699939135605,0.634,-0.007999304408312313,0.597,0.008086253369272267,0.511,0.646603193925166,0.6488711126568704,0.6301481030635018,0.6298945019273686
C2,resplit_55,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.26,0.0008332608758658822,0.927,-0.01978626219154084,0.021845150248070915,0.007709474538445948,0.553,0.0036518563603165077,0.754,-0.010520824276149865,0.496,0.0024925368808509374,0.866,0.6517694113555343,0.6509361504796685,0.6253369272237197,0.6222647306031359
C3,CANONICAL,LR+HGB|LR+HGB|HGB|HGB|LR+HGB,0.25,0.0008405066226125357,0.902,-0.020462251695205994,0.02193250315684457,-0.010723705185056387,0.439,-0.0031301625945570066,0.81,-0.0009564385705590484,0.988,0.018172332840622585,0.232,0.6679346723473321,0.6670941657247196,0.6480740805147378,0.6390386343216532
C3,resplit_11,LR+HGB|HGB|LR+HGB|LR+HGB|EN l1=0.3 C=0.2,0.31,0.0038619830159696,0.604,-0.009800755288940973,0.01812192224269004,0.0007825406486392517,0.918,0.006260325189114013,0.472,-0.0022896559719445264,0.827,0.010694722198069662,0.327,0.6672970466336261,0.6634350636176565,0.6514940729791613,0.6383647798742139
C3,resplit_22,LR+HGB|HGB|LR+HGB|LR+HGB|HGB,0.28,0.00712256905196651,0.51,-0.012971918181264913,0.027804892408718647,0.0064921890850071495,0.725,-0.006318291163087242,0.656,0.014462510506332849,0.256,0.013853867779613283,0.355,0.6688911109178912,0.6617685418659247,0.6190113903138857,0.6263295945280121
C3,resplit_33,LR+HGB|LR+HGB|HGB|HGB|EN l1=0.7 C=0.05,0.25,0.019585253456221224,0.037,0.000749410412601373,0.038588778174823785,0.015100136220038807,0.292,0.016549285569370853,0.122,0.013998782714546576,0.227,0.03269280932092866,0.02,0.6731153812711939,0.6535301278149727,0.6377633828942411,0.6221560444019361
C3,resplit_44,LR+HGB|LR+HGB|LR+HGB|LR+HGB|LR+HGB,0.37,0.009448453757644248,0.149,-0.0037256869457512843,0.022768848116809178,0.004202533113062623,0.704,-0.00040576181781293297,0.954,0.008578964148045043,0.357,0.02541807958728226,0.028,0.6583195664145147,0.6488711126568704,0.6501391183375359,0.6298945019273686
