subgroup,n,n_pos,prevalence,auroc,ci_lo,ci_hi
all D464,464,93,0.2,0.7101,0.649,0.7761
vaginal delivery,427,80,0.187,0.7059,0.6414,0.772
caesarean,37,13,0.351,0.6955,0.4999,0.8636
last window in 2nd stage,108,27,0.25,0.6731,0.5253,0.799
last window in 1st stage,319,55,0.172,0.7094,0.6311,0.7917
2nd-stage status unknown,37,11,0.297,0.6958,0.47,0.881
short recording (<=8 windows),12,7,,,,
medium (9-12 windows),55,8,0.145,0.617,0.3707,0.8219
long (>=13 windows),397,78,0.196,0.7224,0.6517,0.7846
primiparous (parity 0),319,76,0.238,0.6866,0.6127,0.7534
multiparous,145,17,0.117,0.6425,0.4759,0.8115
