cand,split,chosen,alpha_mean,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_cand,M_base,M_PRS_cand,M_PRS_base
B0P,CANONICAL,fixed|fixed|fixed|fixed|fixed,0.29,-0.00019563516215981291,0.66,-0.0011289752863794917,0.0008138204397712844,0.0006666087006926835,0.32,-0.0006666087006926835,0.402,0.00031881285685309013,0.782,-0.0011013535054923418,0.023,0.6668985305625598,0.6670941657247196,0.6389009651334667,0.6390386343216532
B0P,resplit_11,fixed|fixed|fixed|fixed|fixed,0.3,-0.00021737240239980138,0.555,-0.001060389168398413,0.0006286881234003694,-0.00014491493493318242,0.821,0.00011593194794656814,0.891,2.898298698661428e-05,0.995,-0.0008694896095992055,0.136,0.6632176912152566,0.6634350636176565,0.6383213053937339,0.6383647798742139
B0P,resplit_22,fixed|fixed|fixed|fixed|fixed,0.25,0.0004492362982929099,0.829,-0.0034796961503954157,0.004628608335847846,0.00011593194794656814,0.959,-0.0022027070109845726,0.429,0.0028113497377040275,0.347,0.0010723705185056165,0.704,0.6622177781642176,0.6617685418659247,0.6264527722227052,0.6263295945280121
B0P,resplit_33,fixed|fixed|fixed|fixed|fixed,0.25,-0.00021012665565312005,0.649,-0.0011781866258274646,0.0007307314860880257,0.0006086427267193439,0.405,-0.0005796597397327297,0.362,8.694896095995386e-05,1.0,-0.0009564385705590484,0.109,0.6533200011593194,0.6535301278149727,0.6221487986551894,0.6221560444019361
B0P,resplit_44,fixed|fixed|fixed|fixed|fixed,0.32,0.003159145581543621,0.018,0.0005286737368188987,0.00578625778491518,0.003680839347303122,0.013,0.0013042344143987528,0.521,0.002956264672637099,0.115,0.00469524389183551,0.019,0.6520302582384141,0.6488711126568704,0.6299379764078485,0.6298945019273686
B0P,resplit_55,fixed|fixed|fixed|fixed|fixed,0.25,0.0008767353563458036,0.604,-0.0025022841933262452,0.004541540349844142,-0.0007535576616526374,0.783,0.0023186389589311407,0.28,0.0005796597397327297,0.821,0.0013622003883719813,0.623,0.6518128858360143,0.6509361504796685,0.6222502391096427,0.6222647306031359
G-A,CANONICAL,alpha=1000|alpha=1000|alpha=1000|alpha=1000|alpha=1000,0.39,0.005405327073008115,0.605,-0.014060102869427176,0.024977277529071844,0.022751644784511416,0.09,0.008549981161058429,0.482,-0.002347621945917755,0.874,-0.00733269570761963,0.608,0.6724994927977278,0.6670941657247196,0.649537721357563,0.6390386343216532
G-A,resplit_11,alpha=1000|alpha=1000|alpha=1000|alpha=1000|alpha=100,0.35,0.012462684404254687,0.217,-0.006954659992241976,0.03280966024172177,0.023650117381097346,0.055,0.00843404921311186,0.509,0.010694722198069662,0.405,0.007071848824739879,0.546,0.675897748021911,0.6634350636176565,0.6441251485378083,0.6383647798742139
G-A,resplit_22,alpha=1000|alpha=1000|alpha=1000|alpha=1000|alpha=1000,0.37,0.00421702460655593,0.673,-0.014858133494095475,0.023922448629378628,0.004869141813755307,0.705,0.0,0.97,0.005912529345274309,0.618,0.0060864272671941055,0.628,0.6659855664724806,0.6617685418659247,0.6339666115989914,0.6263295945280121
G-A,resplit_33,alpha=1000|alpha=1000|alpha=1000|alpha=10|alpha=1000,0.34,0.01702025910790364,0.054,-0.000258112133106774,0.03502207223981673,0.0244616410167231,0.051,0.014259629597426327,0.195,0.016230472712517763,0.136,0.01312929310494737,0.214,0.6705503869228762,0.6535301278149727,0.6462191693475929,0.6221560444019361
G-A,resplit_44,alpha=10|alpha=1000|alpha=1000|alpha=1000|alpha=1000,0.36,0.026990406631307445,0.003,0.007898689816546298,0.04612128981075613,0.023505202446164053,0.057,0.02353418543315078,0.071,0.021824189200939093,0.074,0.03909804944497586,0.001,0.6758615192881778,0.6488711126568704,0.6471031504506853,0.6298945019273686
G-A,resplit_55,alpha=1000|alpha=1000|alpha=1000|alpha=1000|alpha=1000,0.35,0.009289047329217731,0.375,-0.009032841794962018,0.028980701381402782,0.012636582326174484,0.33,0.008578964148045154,0.461,0.005825580384314355,0.66,0.010115062458336932,0.428,0.6602251978088861,0.6509361504796685,0.6298437817001419,0.6222647306031359
G-B,CANONICAL,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.43,0.0022099527577311984,0.827,-0.015153227973385485,0.020527142027105663,0.027186041793467175,0.012,0.010578790250123205,0.371,-0.011448279859722299,0.29,-0.017476741152943287,0.106,0.6693041184824507,0.6670941657247196,0.6486392487609773,0.6390386343216532
G-B,resplit_11,C=0.01|C=0.01|C=0.05|C=0.01|C=0.2,0.34,0.010317943367243426,0.225,-0.005450092092527887,0.02798337604695977,0.018896907515288608,0.043,0.010259977393270114,0.318,0.012520650378227915,0.241,-0.00040576181781293297,0.934,0.6737530069848998,0.6634350636176565,0.6391618120163464,0.6383647798742139
