seed,set,M_GA,M_B0,dM,p,d0,d10,d20,d30
11,screening,0.6818,0.6762,0.0056,0.512,0.0035,0.0085,0.0047,0.0057
22,screening,0.6863,0.6753,0.011,0.182,0.0219,0.0104,0.0066,0.005
33,screening,0.6965,0.6786,0.0179,0.043,0.0181,0.0213,0.0146,0.0177
44,screening,0.701,0.6954,0.0056,0.52,-0.0038,0.0147,0.0096,0.0017
55,screening,0.6802,0.6617,0.0185,0.044,0.0272,0.0241,0.014,0.0087
66,fresh,0.6992,0.6875,0.0117,0.151,0.0155,0.0139,0.0046,0.0128
77,fresh,0.6791,0.6692,0.0099,0.292,0.0179,0.0156,0.0073,-0.0012
88,fresh,0.6914,0.6725,0.0189,0.025,0.0119,0.0199,0.0256,0.0182
99,fresh,0.6913,0.6771,0.0142,0.104,0.0154,0.0238,0.0138,0.0039
111,fresh,0.6973,0.6861,0.0112,0.172,0.0103,0.0185,0.0083,0.0077
