split,arm,sens,far,median_lead,ge20,ge30
CANONICAL,B0,0.8727,0.6316,40.0,0.8333,0.7188
CANONICAL,C,0.8727,0.6316,33.75,0.7188,0.5833
CANONICAL,V2,0.8909,0.611,40.0,0.8265,0.7143
resplit_121,B0,0.8364,0.6224,40.0,0.8804,0.7283
resplit_121,C,0.8727,0.6178,40.0,0.8021,0.6667
resplit_121,V2,0.8636,0.6224,40.0,0.8316,0.6842
resplit_132,B0,0.8636,0.6339,40.0,0.8,0.6947
resplit_132,C,0.9,0.6224,37.5,0.7879,0.6667
resplit_132,V2,0.8727,0.6316,40.0,0.8125,0.6875
resplit_143,B0,0.8818,0.6316,40.0,0.8247,0.6907
resplit_143,C,0.8727,0.6316,35.0,0.7812,0.625
resplit_143,V2,0.8727,0.6247,40.0,0.8542,0.7292
resplit_154,B0,0.8545,0.6339,40.0,0.8298,0.6809
resplit_154,C,0.8727,0.6133,35.0,0.7396,0.625
resplit_154,V2,0.8636,0.6316,40.0,0.8105,0.6842
resplit_165,B0,0.8545,0.6293,40.0,0.8298,0.6915
resplit_165,C,0.9091,0.6224,37.5,0.78,0.66
resplit_165,V2,0.8818,0.627,40.0,0.8144,0.7113
resplit_176,B0,0.8636,0.6316,40.0,0.8,0.6737
resplit_176,C,0.8727,0.6133,38.75,0.8021,0.6771
resplit_176,V2,0.8818,0.6293,40.0,0.8041,0.6907
resplit_187,B0,0.8364,0.6224,40.0,0.8587,0.7391
resplit_187,C,0.8727,0.6293,38.75,0.8021,0.6667
resplit_187,V2,0.8545,0.6293,40.0,0.8511,0.7021
resplit_198,B0,0.8909,0.6247,40.0,0.7857,0.6531
resplit_198,C,0.8818,0.6133,40.0,0.8454,0.7113
resplit_198,V2,0.9,0.611,40.0,0.8081,0.6667
resplit_209,B0,0.8545,0.6293,40.0,0.7766,0.6383
resplit_209,C,0.9,0.643,35.0,0.7172,0.596
resplit_209,V2,0.8545,0.6293,40.0,0.7979,0.6489
resplit_220,B0,0.8727,0.6339,38.75,0.7812,0.6771
resplit_220,C,0.9273,0.6339,37.5,0.7941,0.6569
resplit_220,V2,0.9,0.6316,37.5,0.7677,0.6364
