split,arm,M,auc_0m,auc_10m,auc_20m,auc_30m,brier,cal_slope,cal_intercept,ece10,op_sens,op_far,op_ppv,op_median_lead,op_ge10,op_ge20,op_ge30
CANONICAL,B0,0.6903,0.7334,0.6957,0.6677,0.6646,0.1488,2.633,1.929,0.044,0.8636,0.6247,0.2582,40.0,0.9158,0.8316,0.7053
CANONICAL,C,0.6972,0.7475,0.7041,0.6752,0.662,0.1472,2.705,1.943,0.0571,0.8636,0.5881,0.2699,30.0,0.8211,0.6632,0.5263
CANONICAL,B,0.6946,0.7405,0.6995,0.673,0.6655,0.1484,2.774,2.067,0.0539,0.8545,0.5858,0.2686,35.0,0.8723,0.7234,0.6064
CANONICAL,A,0.6904,0.7373,0.6951,0.6661,0.6632,0.1488,2.71,2.037,0.0438,0.8727,0.6293,0.2588,40.0,0.9271,0.8438,0.7188
CANONICAL,V2,0.6929,0.7393,0.6976,0.6684,0.6663,0.1488,2.773,2.098,0.0455,0.8636,0.5927,0.2684,37.5,0.8947,0.7474,0.6421
CANONICAL,V2E,0.6915,0.7375,0.6953,0.6669,0.6663,0.1427,1.306,0.154,0.037,0.8636,0.5927,0.2684,37.5,0.8947,0.7474,0.6421
resplit_121,B0,0.6738,0.7093,0.6759,0.6604,0.6495,0.1511,2.516,1.906,0.0338,0.8545,0.6751,0.2416,40.0,0.9574,0.9043,0.766
resplit_121,C,0.6887,0.7356,0.6915,0.6685,0.6593,0.1492,2.631,1.964,0.0529,0.8727,0.5698,0.2783,35.0,0.875,0.7604,0.625
resplit_121,B,0.6771,0.7205,0.6798,0.6589,0.6493,0.1503,2.656,2.065,0.0469,0.8636,0.6224,0.2589,40.0,0.9263,0.8632,0.7263
resplit_121,A,0.6773,0.7198,0.6785,0.66,0.6511,0.1503,2.64,2.0,0.0448,0.8636,0.6613,0.2474,40.0,0.9368,0.8737,0.7263
resplit_121,V2,0.6831,0.737,0.6845,0.662,0.649,0.1489,2.871,2.254,0.0488,0.8636,0.5721,0.2754,37.5,0.8737,0.7684,0.6421
resplit_121,V2E,0.6823,0.7364,0.6834,0.6613,0.6481,0.1425,1.408,0.322,0.0445,0.8636,0.5721,0.2754,37.5,0.8737,0.7684,0.6421
resplit_132,B0,0.654,0.7048,0.6499,0.6367,0.6248,0.1519,2.105,1.325,0.0405,0.8818,0.6522,0.2539,40.0,0.9072,0.8351,0.7216
resplit_132,C,0.675,0.7171,0.6787,0.6593,0.645,0.1505,2.226,1.416,0.0321,0.8727,0.5995,0.2682,36.25,0.8646,0.75,0.6458
resplit_132,B,0.6676,0.7119,0.6684,0.6527,0.6373,0.151,2.19,1.386,0.0387,0.8818,0.643,0.2566,40.0,0.8969,0.8247,0.701
resplit_132,A,0.6536,0.7025,0.649,0.6369,0.6261,0.1522,2.161,1.418,0.0416,0.8727,0.6522,0.252,40.0,0.9167,0.8438,0.7292
resplit_132,V2,0.6682,0.7123,0.666,0.6551,0.6392,0.1513,2.28,1.531,0.0297,0.8818,0.6453,0.2559,40.0,0.9072,0.8247,0.701
resplit_132,V2E,0.6659,0.7115,0.6649,0.651,0.6362,0.1479,1.288,0.198,0.036,0.8818,0.6453,0.2559,40.0,0.9072,0.8247,0.701
resplit_143,B0,0.6722,0.7141,0.6826,0.6524,0.6398,0.15,2.473,1.765,0.0423,0.8818,0.6522,0.2539,40.0,0.9278,0.8557,0.7216
resplit_143,C,0.6854,0.7323,0.6981,0.663,0.6482,0.1485,2.448,1.627,0.0419,0.8455,0.6041,0.2605,35.0,0.8602,0.7097,0.5914
resplit_143,B,0.6838,0.7264,0.6954,0.6639,0.6495,0.1494,2.588,1.864,0.04,0.8636,0.6156,0.261,40.0,0.9158,0.8105,0.6947
resplit_143,A,0.6734,0.7149,0.6784,0.6553,0.6449,0.1502,2.506,1.815,0.0397,0.8818,0.6499,0.2546,40.0,0.9278,0.8557,0.732
resplit_143,V2,0.6828,0.7267,0.6894,0.6637,0.6515,0.1498,2.611,1.921,0.0382,0.8545,0.5995,0.264,38.75,0.9149,0.8298,0.6915
resplit_143,V2E,0.6803,0.722,0.6873,0.6619,0.6501,0.1449,1.24,0.116,0.0294,0.8545,0.5995,0.264,38.75,0.9149,0.8298,0.6915
resplit_154,B0,0.673,0.715,0.6691,0.6601,0.6477,0.1506,2.348,1.652,0.0406,0.8636,0.6293,0.2568,40.0,0.8947,0.8,0.7053
resplit_154,C,0.6847,0.7288,0.6905,0.6701,0.6492,0.1491,2.518,1.8,0.0428,0.8818,0.5881,0.274,32.5,0.8454,0.701,0.567
resplit_154,B,0.6811,0.7261,0.6834,0.6654,0.6495,0.1497,2.481,1.779,0.037,0.8636,0.6178,0.2603,37.5,0.8947,0.7684,0.6421
resplit_154,A,0.6746,0.7205,0.6686,0.66,0.6491,0.1505,2.421,1.746,0.0403,0.8455,0.6201,0.2555,40.0,0.8925,0.8065,0.7097
resplit_154,V2,0.6822,0.7326,0.6808,0.6649,0.6503,0.1494,2.557,1.876,0.0373,0.8545,0.5904,0.267,37.5,0.8723,0.766,0.6383
resplit_154,V2E,0.6809,0.7306,0.6805,0.6637,0.6487,0.1444,1.182,0.055,0.0409,0.8545,0.5904,0.267,37.5,0.8723,0.766,0.6383
resplit_165,B0,0.6793,0.7167,0.6913,0.6658,0.6433,0.1499,2.407,1.699,0.041,0.8727,0.6682,0.2474,40.0,0.9375,0.8646,0.7292
resplit_165,C,0.7009,0.7468,0.7069,0.6813,0.6685,0.1482,2.473,1.707,0.0496,0.8636,0.54,0.287,32.5,0.8,0.6842,0.5474
resplit_165,B,0.6909,0.7329,0.6995,0.6753,0.6561,0.149,2.486,1.751,0.0603,0.8818,0.5858,0.2748,37.5,0.8351,0.7526,0.6392
resplit_165,A,0.6787,0.7153,0.6898,0.6647,0.645,0.1503,2.381,1.683,0.0413,0.8545,0.6545,0.2474,40.0,0.9255,0.8511,0.7021
resplit_165,V2,0.6901,0.729,0.7001,0.6743,0.657,0.1497,2.499,1.801,0.0482,0.8545,0.5973,0.2648,40.0,0.8511,0.766,0.6596
resplit_165,V2E,0.6878,0.726,0.6981,0.6717,0.6554,0.1453,1.231,0.116,0.0415,0.8545,0.5973,0.2648,40.0,0.8511,0.766,0.6596
resplit_176,B0,0.6743,0.729,0.6746,0.6509,0.6426,0.1491,2.586,1.867,0.0521,0.8909,0.6659,0.2519,40.0,0.9082,0.8469,0.7143
resplit_176,C,0.6871,0.7396,0.6893,0.6635,0.6559,0.1479,2.532,1.72,0.0565,0.8364,0.5561,0.2746,32.5,0.8261,0.6739,0.5543
resplit_176,B,0.6829,0.7351,0.6822,0.6603,0.6542,0.149,2.679,1.959,0.0624,0.8545,0.5995,0.264,37.5,0.8723,0.7553,0.6596
resplit_176,A,0.6699,0.7242,0.6678,0.6455,0.6419,0.1498,2.596,1.909,0.0478,0.8818,0.6682,0.2494,40.0,0.9175,0.8557,0.7216
resplit_176,V2,0.6817,0.7368,0.6804,0.6584,0.6511,0.1489,2.721,2.025,0.0598,0.8364,0.5927,0.2621,40.0,0.8913,0.7826,0.6848
resplit_176,V2E,0.6822,0.7358,0.6817,0.6595,0.6518,0.1426,1.296,0.152,0.0416,0.8364,0.5927,0.2621,40.0,0.8913,0.7826,0.6848
resplit_187,B0,0.665,0.7111,0.6725,0.6409,0.6357,0.1506,2.498,1.846,0.0369,0.8545,0.643,0.2507,40.0,0.9362,0.8617,0.7447
