split,M_D,M_B0,D_0m,D_10m,D_20m,D_30m,B0_0m,B0_10m,B0_20m,B0_30m,D_cal_slope,D_brier,D_ece10,D_raw_brier,opfar_D_sens,opfar_D_far,opfar_D_median_lead,opfar_D_ge10,opfar_D_ge20,opfar_D_ge30,opfar_B0_sens,opfar_B0_far,opfar_B0_median_lead,opfar_B0_ge10,opfar_B0_ge20,opfar_B0_ge30,opsens_D_sens,opsens_D_far,opsens_D_ppv,opsens_D_median_lead,opsens_D_ge10,opsens_D_ge20,opsens_D_ge30,opsens_B0_sens,opsens_B0_far,opsens_B0_ppv,opsens_B0_median_lead,opsens_B0_ge10,opsens_B0_ge20,opsens_B0_ge30
CANONICAL,0.6957,0.6903,0.746,0.7022,0.6734,0.6611,0.7334,0.6957,0.6677,0.6646,1.322,0.1411,0.0529,0.1472,0.8727,0.6316,32.5,0.8542,0.7083,0.5625,0.8727,0.6316,40.0,0.9271,0.8333,0.7188,0.8636,0.5881,0.2699,30.0,0.8211,0.6632,0.5263,0.8636,0.6247,0.2582,40.0,0.9158,0.8316,0.7053
resplit_301,0.6879,0.6763,0.7354,0.6924,0.6644,0.6595,0.7167,0.6737,0.6592,0.6555,1.294,0.1425,0.0442,0.1485,0.8545,0.5881,35.0,0.8404,0.7234,0.6383,0.8455,0.611,40.0,0.9355,0.8817,0.7312,0.8364,0.5629,0.2722,33.75,0.8152,0.6957,0.5978,0.8727,0.6522,0.252,40.0,0.9479,0.8958,0.7604
resplit_313,0.6818,0.6669,0.7249,0.6855,0.6671,0.6497,0.7122,0.6729,0.6471,0.6355,1.147,0.1455,0.041,0.1497,0.8182,0.5904,37.5,0.9111,0.8,0.6889,0.8636,0.6247,40.0,0.9368,0.8526,0.7053,0.8636,0.6064,0.2639,40.0,0.9053,0.8211,0.6947,0.8818,0.6453,0.2559,40.0,0.9175,0.8351,0.6907
resplit_327,0.6788,0.6651,0.718,0.6787,0.6639,0.6548,0.7092,0.6626,0.6483,0.6402,1.187,0.1456,0.0404,0.15,0.8818,0.6201,40.0,0.8969,0.8247,0.701,0.8364,0.6224,40.0,0.9239,0.8478,0.7283,0.8727,0.627,0.2595,37.5,0.875,0.8125,0.6875,0.8545,0.6568,0.2467,40.0,0.9574,0.8723,0.7447
resplit_341,0.6866,0.6693,0.7303,0.6895,0.6674,0.6593,0.7109,0.6674,0.6559,0.6429,1.241,0.143,0.0326,0.15,0.8727,0.6133,40.0,0.9167,0.8438,0.7083,0.8545,0.6339,40.0,0.9681,0.9043,0.7447,0.8364,0.5629,0.2722,40.0,0.9348,0.8261,0.7065,0.8545,0.6476,0.2493,40.0,0.9468,0.9043,0.7447
resplit_359,0.673,0.6501,0.7143,0.6791,0.6532,0.6454,0.6929,0.6474,0.6317,0.6284,0.931,0.1498,0.0518,0.1507,0.8455,0.6064,40.0,0.9355,0.7957,0.6774,0.8273,0.6247,40.0,0.967,0.8571,0.7253,0.8455,0.6224,0.2548,40.0,0.9677,0.8387,0.7312,0.8636,0.6636,0.2468,40.0,0.9684,0.8842,0.7684
resplit_372,0.6827,0.6702,0.7273,0.685,0.6653,0.6532,0.7111,0.6687,0.653,0.6482,1.291,0.1451,0.0336,0.1497,0.8636,0.6156,35.0,0.8632,0.7789,0.6421,0.8364,0.6133,40.0,0.9239,0.8478,0.7283,0.8455,0.5744,0.2703,35.0,0.871,0.7849,0.6559,0.8545,0.6476,0.2493,40.0,0.9255,0.8617,0.7447
resplit_386,0.6798,0.6687,0.723,0.6812,0.6655,0.6494,0.7008,0.6698,0.6589,0.6452,1.38,0.1458,0.0342,0.1506,0.8455,0.5744,37.5,0.8495,0.7742,0.6559,0.8455,0.6224,40.0,0.9462,0.8495,0.7097,0.8545,0.6133,0.2597,40.0,0.8723,0.8085,0.7021,0.8727,0.6705,0.2468,40.0,0.9688,0.9271,0.8021
resplit_401,0.6844,0.6682,0.7268,0.6838,0.6701,0.6571,0.7152,0.669,0.6506,0.6377,1.281,0.1435,0.0421,0.1493,0.8182,0.5858,38.75,0.8778,0.8,0.6778,0.8364,0.6178,40.0,0.8913,0.8043,0.6848,0.8455,0.611,0.2583,40.0,0.9355,0.871,0.7097,0.8455,0.6407,0.2493,40.0,0.9462,0.8925,0.7742
resplit_417,0.6942,0.6735,0.7483,0.6998,0.6711,0.6578,0.722,0.6792,0.6518,0.6409,1.343,0.1417,0.0448,0.1485,0.8455,0.5652,37.5,0.871,0.7742,0.6452,0.8545,0.6178,40.0,0.8936,0.8298,0.6809,0.8273,0.54,0.2783,40.0,0.8571,0.7802,0.6484,0.8545,0.6499,0.2487,40.0,0.9255,0.8404,0.7021
resplit_433,0.6884,0.6812,0.7294,0.6961,0.6732,0.6548,0.729,0.6869,0.6632,0.6455,1.19,0.1416,0.0416,0.1483,0.8727,0.6247,37.5,0.8854,0.8125,0.6667,0.8545,0.6293,40.0,0.9255,0.8404,0.6915,0.8545,0.5744,0.2725,33.75,0.8191,0.7234,0.5957,0.8455,0.6201,0.2555,40.0,0.914,0.8172,0.6774
