split,alphas,M_D2,M_B0,D2_0m,D2_10m,D2_20m,D2_30m,B0_0m,B0_10m,B0_20m,B0_30m,D2_cal_slope,D2_brier,D2_ece10,D2_raw_brier,opfar_D2_sens,opfar_D2_far,opfar_D2_median_lead,opfar_D2_ge10,opfar_D2_ge20,opfar_D2_ge30,opfar_B0_sens,opfar_B0_far,opfar_B0_median_lead,opfar_B0_ge10,opfar_B0_ge20,opfar_B0_ge30,opsens_D2_sens,opsens_D2_far,opsens_D2_ppv,opsens_D2_median_lead,opsens_D2_ge10,opsens_D2_ge20,opsens_D2_ge30,opsens_B0_sens,opsens_B0_far,opsens_B0_ppv,opsens_B0_median_lead,opsens_B0_ge10,opsens_B0_ge20,opsens_B0_ge30
CANONICAL,"[np.float64(0.30000000000000004), np.float64(0.2), np.float64(0.30000000000000004), np.float64(0.30000000000000004), np.float64(0.25)]",0.6849,0.6903,0.7284,0.6854,0.6694,0.6566,0.7334,0.6957,0.6677,0.6646,1.294,0.1448,0.0506,0.1504,0.8909,0.6613,40.0,0.9592,0.8878,0.7653,0.8727,0.6316,40.0,0.9271,0.8333,0.7188,0.8636,0.5881,0.2699,30.0,0.8211,0.6632,0.5263,0.8636,0.6247,0.2582,40.0,0.9158,0.8316,0.7053
resplit_501,"[np.float64(0.25), np.float64(0.30000000000000004), np.float64(0.25), np.float64(0.35000000000000003), np.float64(0.30000000000000004)]",0.6951,0.6893,0.7303,0.7028,0.6816,0.6656,0.7349,0.691,0.6731,0.6581,1.165,0.1453,0.0397,0.1499,0.9,0.6476,40.0,0.9293,0.8384,0.7172,0.8636,0.6247,37.5,0.9053,0.8105,0.6526,0.8364,0.5126,0.2911,27.5,0.7826,0.6304,0.4891,0.8636,0.6133,0.2617,40.0,0.8842,0.7895,0.6316
resplit_514,"[np.float64(0.30000000000000004), np.float64(0.4), np.float64(0.30000000000000004), np.float64(0.25), np.float64(0.25)]",0.6692,0.6612,0.7079,0.6705,0.6498,0.6485,0.696,0.6607,0.6451,0.6428,1.248,0.1479,0.0269,0.1518,0.8818,0.6178,40.0,0.8969,0.8247,0.6907,0.8455,0.6247,40.0,0.9032,0.7957,0.6882,0.8818,0.6201,0.2636,35.0,0.8557,0.7629,0.6082,0.9,0.6636,0.2545,40.0,0.9394,0.8788,0.7576
resplit_528,"[np.float64(0.4), np.float64(0.35000000000000003), np.float64(0.30000000000000004), np.float64(0.45), np.float64(0.4)]",0.6851,0.6704,0.7375,0.688,0.661,0.6538,0.717,0.6741,0.6528,0.6377,1.238,0.1461,0.0486,0.1501,0.8636,0.5904,35.0,0.8842,0.7368,0.6316,0.8545,0.6293,40.0,0.9149,0.8298,0.6915,0.8182,0.5515,0.2719,36.25,0.8889,0.7889,0.6333,0.8727,0.659,0.25,40.0,0.9479,0.875,0.75
resplit_541,"[np.float64(0.35000000000000003), np.float64(0.30000000000000004), np.float64(0.4), np.float64(0.4), np.float64(0.30000000000000004)]",0.6851,0.6616,0.7271,0.6768,0.6683,0.668,0.6926,0.6585,0.6507,0.6446,1.128,0.1479,0.0243,0.1513,0.8909,0.611,38.75,0.9184,0.8265,0.7041,0.8455,0.6247,40.0,0.9247,0.871,0.7312,0.8364,0.5881,0.2636,38.75,0.8478,0.7826,0.6739,0.8636,0.6773,0.243,40.0,0.9579,0.9053,0.7789
resplit_557,"[np.float64(0.30000000000000004), np.float64(0.4), np.float64(0.4), np.float64(0.4), np.float64(0.4)]",0.6926,0.6755,0.7191,0.6973,0.6807,0.6731,0.7243,0.6764,0.6568,0.6444,1.042,0.1478,0.0377,0.1507,0.8273,0.5973,35.0,0.8901,0.7802,0.6593,0.8636,0.6178,37.5,0.8526,0.7895,0.6526,0.8636,0.5675,0.277,35.0,0.8632,0.7263,0.6,0.9,0.6888,0.2475,40.0,0.9293,0.8283,0.7172
resplit_569,"[np.float64(0.35000000000000003), np.float64(0.30000000000000004), np.float64(0.30000000000000004), np.float64(0.15000000000000002), np.float64(0.35000000000000003)]",0.6655,0.6467,0.7082,0.6701,0.6419,0.6419,0.6973,0.6499,0.62,0.6197,1.112,0.1468,0.0359,0.1506,0.8545,0.6339,40.0,0.9574,0.8617,0.766,0.8182,0.6293,40.0,0.9444,0.8333,0.7222,0.8182,0.5629,0.2679,35.0,0.8444,0.7,0.6111,0.8364,0.6659,0.2402,40.0,0.9457,0.8913,0.7717
resplit_583,"[np.float64(0.30000000000000004), np.float64(0.25), np.float64(0.30000000000000004), np.float64(0.30000000000000004), np.float64(0.30000000000000004)]",0.684,0.677,0.7319,0.6953,0.6644,0.6443,0.7318,0.6785,0.6535,0.6441,1.233,0.1452,0.0464,0.1501,0.8818,0.6339,40.0,0.9175,0.8247,0.6907,0.8545,0.627,40.0,0.883,0.7766,0.6915,0.8455,0.5469,0.2801,30.0,0.8065,0.6452,0.5269,0.8636,0.643,0.2527,40.0,0.9158,0.8316,0.7053
resplit_598,"[np.float64(0.35000000000000003), np.float64(0.35000000000000003), np.float64(0.45), np.float64(0.4), np.float64(0.4)]",0.6996,0.68,0.7317,0.7072,0.6874,0.672,0.7173,0.6878,0.6631,0.6519,1.179,0.1438,0.0391,0.1488,0.8455,0.5721,35.0,0.8817,0.7419,0.6022,0.8727,0.6293,40.0,0.9062,0.7917,0.6562,0.8909,0.627,0.2634,37.5,0.898,0.8061,0.6837,0.8727,0.6545,0.2513,40.0,0.9271,0.8438,0.6979
resplit_612,"[np.float64(0.45), np.float64(0.35000000000000003), np.float64(0.35000000000000003), np.float64(0.30000000000000004), np.float64(0.35000000000000003)]",0.6934,0.6759,0.7311,0.6992,0.6738,0.6694,0.7165,0.6789,0.6555,0.6529,1.321,0.1446,0.0296,0.1503,0.8818,0.5584,37.5,0.8866,0.8247,0.6907,0.8636,0.6339,40.0,0.9053,0.8316,0.7158,0.8455,0.5492,0.2793,35.0,0.8602,0.7742,0.6452,0.8545,0.6499,0.2487,40.0,0.9255,0.8511,0.734
