seed,fold,model_a_auroc,model_b_auroc,model_c_auroc
0,0,0.581095041322314,0.7205578512396693,0.7205578512396693
0,1,0.7236570247933884,0.7985537190082644,0.796487603305785
0,2,0.6128526645768024,0.777951933124347,0.7727272727272727
0,3,0.6483803552769071,0.6922675026123302,0.6990595611285266
0,4,0.6342737722048067,0.7366771159874608,0.7424242424242424
1,0,0.6002066115702479,0.7205578512396693,0.7205578512396693
1,1,0.6673553719008265,0.7985537190082644,0.7804752066115703
1,2,0.7032392894461861,0.777951933124347,0.7737722048066876
1,3,0.670846394984326,0.6922675026123302,0.7037617554858933
1,4,0.7168234064785789,0.7366771159874608,0.7392894461859979
2,0,0.5619834710743802,0.7205578512396693,0.7205578512396693
2,1,0.6890495867768595,0.7985537190082644,0.8006198347107438
2,2,0.7115987460815046,0.777951933124347,0.7727272727272727
2,3,0.7549634273772206,0.6922675026123302,0.6922675026123302
2,4,0.6969696969696969,0.7366771159874608,0.7366771159874608
3,0,0.4684917355371901,0.7205578512396693,0.7205578512396693
3,1,0.7174586776859504,0.7985537190082644,0.8042355371900827
3,2,0.6044932079414838,0.777951933124347,0.7821316614420063
3,3,0.6227795193312435,0.6922675026123302,0.7110762800417972
3,4,0.6729362591431557,0.7366771159874608,0.7471264367816093
4,0,0.643595041322314,0.7205578512396693,0.7205578512396693
4,1,0.6864669421487604,0.7985537190082644,0.8042355371900827
4,2,0.6802507836990596,0.777951933124347,0.7763845350052246
4,3,0.6191222570532916,0.6922675026123302,0.6930512016718914
4,4,0.6917450365726227,0.7366771159874608,0.7387669801462905
