model,operating_point,mean_threshold,sensitivity,specificity,ppv,npv,balanced_accuracy,f1_score
Model_A_Phase4,Sens_80%,0.28968730568885803,0.7909090909090909,0.3180778032036613,0.22597402597402597,0.8580246913580247,0.554493447056376,0.3515151515151515
Model_A_Phase4,Sens_90%,0.226093128323555,0.9,0.2517162471395881,0.2323943661971831,0.9090909090909091,0.575858123569794,0.3694029850746269
Model_A_Phase4,Spec_80%,0.6844202876091003,0.4090909090909091,0.7986270022883295,0.3383458646616541,0.8429951690821256,0.6038589556896193,0.37037037037037035
Model_A_Phase4,Spec_90%,0.807201087474823,0.3181818181818182,0.8878718535469108,0.4166666666666667,0.838012958963283,0.6030268358643645,0.36082474226804123
Model_B_Continuous_Clinical,Sens_80%,-7.245025634765625,0.8181818181818182,0.5537757437070938,0.3157894736842105,0.9236641221374046,0.685978780944456,0.45569620253164556
Model_B_Continuous_Clinical,Sens_90%,-7.269089698791504,0.8909090909090909,0.3318077803203661,0.2512820512820513,0.9235668789808917,0.6113584356147285,0.392
Model_B_Continuous_Clinical,Spec_80%,-7.213395595550537,0.5545454545454546,0.8077803203661327,0.4206896551724138,0.8781094527363185,0.6811628874557936,0.47843137254901963
Model_B_Continuous_Clinical,Spec_90%,-7.189637184143066,0.36363636363636365,0.8924485125858124,0.45977011494252873,0.8478260869565217,0.6280424381110881,0.40609137055837563
Model_C_Continuous_Fusion,Sens_80%,-5720947.5,0.8,0.20137299771167047,0.20137299771167047,0.8,0.5006864988558353,0.3217550274223035
Model_C_Continuous_Fusion,Sens_90%,-5773757.0,0.8,0.20137299771167047,0.20137299771167047,0.8,0.5006864988558353,0.3217550274223035
Model_C_Continuous_Fusion,Spec_80%,1.5721603631973267,0.15454545454545454,0.8741418764302059,0.2361111111111111,0.8042105263157895,0.5143436654878302,0.18681318681318682
Model_C_Continuous_Fusion,Spec_90%,1.685096025466919,0.15454545454545454,0.8741418764302059,0.2361111111111111,0.8042105263157895,0.5143436654878302,0.18681318681318682
