horizon,horizon_min,model,n_patients,auroc_715,auprc_715,auroc_705,brier_score
>=60m,60,Phase 8 Baseline,547,0.5358,0.2581,0.5884,0.1662
>=60m,60,Model 1: Temporal LR,547,0.6109,0.311,0.6273,0.1585
>=60m,60,Model 2: Temporal GBM,547,0.6235,0.2941,0.6419,0.2035
>=60m,60,Model 3: Trajectory EWMA,547,0.5358,0.2581,0.5884,0.1662
>=60m,60,Model 4: Sequential GRU,547,0.5518,0.2723,0.5955,0.2007
>=60m,60,Model 5: Multi-Horizon,547,0.6084,0.3028,0.6205,0.1613
>=45m,45,Phase 8 Baseline,547,0.5358,0.2581,0.5884,0.1662
>=45m,45,Model 1: Temporal LR,547,0.6109,0.311,0.6273,0.1585
>=45m,45,Model 2: Temporal GBM,547,0.6235,0.2941,0.6419,0.2035
>=45m,45,Model 3: Trajectory EWMA,547,0.5358,0.2581,0.5884,0.1662
>=45m,45,Model 4: Sequential GRU,547,0.5518,0.2723,0.5955,0.2007
>=45m,45,Model 5: Multi-Horizon,547,0.6084,0.3028,0.6205,0.1613
>=30m,30,Phase 8 Baseline,547,0.5699,0.2776,0.6388,0.1637
>=30m,30,Model 1: Temporal LR,547,0.6066,0.3096,0.654,0.1567
>=30m,30,Model 2: Temporal GBM,547,0.6122,0.2963,0.62,0.2015
>=30m,30,Model 3: Trajectory EWMA,547,0.5607,0.2769,0.6351,0.1639
>=30m,30,Model 4: Sequential GRU,547,0.5368,0.256,0.5756,0.2082
>=30m,30,Model 5: Multi-Horizon,547,0.608,0.3041,0.6526,0.1629
>=20m,20,Phase 8 Baseline,547,0.6289,0.3078,0.6493,0.1589
>=20m,20,Model 1: Temporal LR,547,0.5919,0.307,0.6115,0.1575
>=20m,20,Model 2: Temporal GBM,547,0.6166,0.2958,0.6258,0.2094
>=20m,20,Model 3: Trajectory EWMA,547,0.6186,0.3337,0.663,0.1587
>=20m,20,Model 4: Sequential GRU,547,0.5047,0.2376,0.5541,0.2166
>=20m,20,Model 5: Multi-Horizon,547,0.5218,0.2509,0.541,0.1749
>=10m,10,Phase 8 Baseline,547,0.6941,0.4004,0.6924,0.1487
>=10m,10,Model 1: Temporal LR,547,0.675,0.4151,0.6659,0.1446
>=10m,10,Model 2: Temporal GBM,547,0.6868,0.411,0.6506,0.2091
>=10m,10,Model 3: Trajectory EWMA,547,0.6891,0.4219,0.6796,0.1499
>=10m,10,Model 4: Sequential GRU,547,0.5998,0.2932,0.6021,0.1954
>=10m,10,Model 5: Multi-Horizon,547,0.6224,0.3573,0.609,0.1575
Delivery (0m),0,Phase 8 Baseline,547,0.5976,0.2967,0.5589,0.163
Delivery (0m),0,Model 1: Temporal LR,547,0.6704,0.371,0.6893,0.155
Delivery (0m),0,Model 2: Temporal GBM,547,0.655,0.3684,0.6598,0.2581
Delivery (0m),0,Model 3: Trajectory EWMA,547,0.6993,0.3682,0.6876,0.1478
Delivery (0m),0,Model 4: Sequential GRU,547,0.5837,0.2852,0.637,0.2156
Delivery (0m),0,Model 5: Multi-Horizon,547,0.6566,0.386,0.7136,0.1632
