model,horizon,horizon_min,auroc_715,auprc_715,auroc_705,brier_score
Model A (Snapshot Baseline),>=60m,60,0.5976,0.2967,0.5589,0.163
Model B (Generic Temporal Baseline),>=60m,60,0.6766,0.3563,0.6945,0.1543
Model C (Physiological Deterioration),>=60m,60,0.7046,0.3591,0.6961,0.1506
Model D (Snapshot + Deterioration),>=60m,60,0.6769,0.3837,0.6666,0.1521
Model E (Full Trajectory + Domain),>=60m,60,0.6856,0.3925,0.6997,0.151
Model A (Snapshot Baseline),>=45m,45,0.5976,0.2967,0.5589,0.163
Model B (Generic Temporal Baseline),>=45m,45,0.6766,0.3563,0.6945,0.1543
Model C (Physiological Deterioration),>=45m,45,0.7046,0.3591,0.6961,0.1506
Model D (Snapshot + Deterioration),>=45m,45,0.6769,0.3837,0.6666,0.1521
Model E (Full Trajectory + Domain),>=45m,45,0.6856,0.3925,0.6997,0.151
Model A (Snapshot Baseline),>=30m,30,0.5461,0.2892,0.6005,0.1627
Model B (Generic Temporal Baseline),>=30m,30,0.6046,0.3102,0.647,0.1567
Model C (Physiological Deterioration),>=30m,30,0.5981,0.2841,0.6582,0.1573
Model D (Snapshot + Deterioration),>=30m,30,0.5873,0.2948,0.6041,0.1583
Model E (Full Trajectory + Domain),>=30m,30,0.5987,0.2969,0.6377,0.1591
Model A (Snapshot Baseline),>=20m,20,0.55,0.2869,0.6118,0.1628
Model B (Generic Temporal Baseline),>=20m,20,0.5881,0.3002,0.6179,0.1579
Model C (Physiological Deterioration),>=20m,20,0.6006,0.2804,0.6726,0.1578
Model D (Snapshot + Deterioration),>=20m,20,0.5916,0.2946,0.6432,0.1584
Model E (Full Trajectory + Domain),>=20m,20,0.5885,0.292,0.6335,0.1595
Model A (Snapshot Baseline),>=10m,10,0.536,0.26,0.5882,0.1659
Model B (Generic Temporal Baseline),>=10m,10,0.5785,0.2868,0.6021,0.1594
Model C (Physiological Deterioration),>=10m,10,0.5895,0.2735,0.6501,0.1585
Model D (Snapshot + Deterioration),>=10m,10,0.5888,0.2874,0.6403,0.1593
Model E (Full Trajectory + Domain),>=10m,10,0.5855,0.2839,0.6291,0.1607
Model A (Snapshot Baseline),Delivery (0m),0,0.5976,0.2967,0.5589,0.163
Model B (Generic Temporal Baseline),Delivery (0m),0,0.6766,0.3563,0.6945,0.1543
Model C (Physiological Deterioration),Delivery (0m),0,0.7046,0.3591,0.6961,0.1506
Model D (Snapshot + Deterioration),Delivery (0m),0,0.6769,0.3837,0.6666,0.1521
Model E (Full Trajectory + Domain),Delivery (0m),0,0.6856,0.3925,0.6997,0.151
